"id_maquina","proceso","criticidad","fabricante","fecha_alta","edad_alta","exposicion_dias","potencia_kw","carga","plan_mantenimiento","intervalo_mant"
"M047","Lijado","Critica","B",2017-10-15,3.22,1460,5.8,0.689,"Correctivo",NA
"M048","Ensamblaje","Auxiliar","A",2019-01-23,1.94,1460,14.8,0.779,"Correctivo",NA
"M049","Acabado","Importante","B",2013-08-11,7.4,1460,8.2,0.82,"Preventivo",120
"M050","Mecanizado","Auxiliar","B",2021-07-14,0,1266,11.4,0.834,"Correctivo",NA
"M051","Corte","Auxiliar","A",2023-01-21,0,710,7.3,0.589,"Correctivo",NA
"M052","Lijado","Importante","C",2022-04-23,0,983,8.3,0.827,"Correctivo",NA
"M053","Corte","Auxiliar","A",2014-08-28,6.35,1460,8.5,0.581,"Correctivo",NA
"M054","Lijado","Importante","B",2013-04-23,7.7,1460,16.3,0.637,"Preventivo",120
"M055","Mecanizado","Importante","C",2014-04-12,6.73,1460,15.4,0.59,"Preventivo",120
"M056","Mecanizado","Importante","A",2013-10-12,7.23,1460,5.9,0.337,"Preventivo",90
"M057","Lijado","Importante","B",2017-03-29,3.76,1460,12.3,0.84,"Correctivo",NA
"M058","Corte","Auxiliar","A",2021-10-22,0,1166,14.2,0.724,"Correctivo",NA
"M059","Mecanizado","Importante","B",2018-01-24,2.94,1460,9.5,0.893,"Preventivo",120
"M060","Corte","Importante","A",2023-05-01,0,610,9.6,0.603,"Correctivo",NA
"M061","Mecanizado","Auxiliar","B",2014-04-05,6.75,1460,14.6,0.687,"Correctivo",NA
"M062","Ensamblaje","Importante","B",2016-11-13,4.14,1460,10.1,0.495,"Preventivo",60
"M063","Mecanizado","Auxiliar","A",2015-06-17,5.55,1460,11.3,0.735,"Preventivo",120
"M064","Lijado","Critica","C",2019-02-05,1.91,1460,7.6,0.729,"Preventivo",120
"M065","Mecanizado","Importante","B",2019-11-29,1.09,1460,11,0.615,"Preventivo",90
"M066","Mecanizado","Auxiliar","B",2015-02-20,5.87,1460,9.2,0.484,"Correctivo",NA
"M067","Ensamblaje","Auxiliar","A",2020-11-18,0.12,1460,15.2,0.774,"Correctivo",NA
"M068","Mecanizado","Importante","A",2018-07-06,2.49,1460,3.7,0.54,"Preventivo",60
"M069","Acabado","Auxiliar","B",2020-11-08,0.15,1460,17.3,0.811,"Preventivo",90
"M070","Mecanizado","Auxiliar","A",2014-08-20,6.37,1460,10.5,0.515,"Preventivo",120
"M071","Mecanizado","Auxiliar","C",2017-07-22,3.45,1460,8.1,0.882,"Correctivo",NA
"M072","Corte","Importante","A",2015-12-12,5.06,1460,10.4,0.344,"Correctivo",NA
"M073","Acabado","Critica","C",2022-02-19,0,1046,8.7,0.704,"Preventivo",90
"M074","Mecanizado","Auxiliar","B",2022-07-31,0,884,17.3,0.364,"Correctivo",NA
"M075","Corte","Critica","B",2016-03-23,4.78,1460,17.8,0.748,"Preventivo",120
"M076","Acabado","Auxiliar","A",2016-07-01,4.51,1460,10.3,0.771,"Preventivo",60
"M077","Acabado","Auxiliar","B",2021-05-27,0,1314,14.1,0.608,"Preventivo",90
"M078","Corte","Auxiliar","B",2020-06-02,0.58,1460,11.5,0.662,"Correctivo",NA
"M079","Acabado","Auxiliar","B",2018-04-15,2.72,1460,9.8,0.75,"Preventivo",90
"M080","Lijado","Importante","A",2014-01-12,6.98,1460,13.8,0.707,"Preventivo",60
"M081","Acabado","Auxiliar","B",2021-05-09,0,1332,15.2,0.65,"Correctivo",NA
"M082","Mecanizado","Importante","A",2019-10-04,1.25,1460,8.7,0.732,"Correctivo",NA
"M083","Lijado","Importante","A",2023-01-17,0,714,10,0.52,"Correctivo",NA
"M084","Acabado","Importante","C",2014-05-25,6.61,1460,12,0.811,"Preventivo",90
"M085","Acabado","Auxiliar","A",2021-07-02,0,1278,13.1,0.674,"Preventivo",60
"M086","Lijado","Importante","B",2023-04-13,0,628,14.3,0.63,"Preventivo",60
"M087","Acabado","Importante","B",2013-04-04,7.75,1460,12.6,0.663,"Correctivo",NA
"M088","Lijado","Importante","A",2021-06-24,0,1286,11.5,0.385,"Preventivo",60
"M089","Mecanizado","Importante","B",2018-10-12,2.22,1460,13,0.711,"Correctivo",NA
"M090","Lijado","Auxiliar","A",2021-03-02,0,1400,13.5,0.569,"Correctivo",NA
"M091","Mecanizado","Auxiliar","A",2013-08-15,7.39,1460,23.7,0.435,"Preventivo",120
"M092","Acabado","Importante","B",2015-06-05,5.58,1460,12.2,0.838,"Preventivo",90
"M093","Mecanizado","Auxiliar","C",2015-07-21,5.45,1460,21.7,0.893,"Preventivo",90
"M094","Acabado","Auxiliar","B",2018-06-19,2.54,1460,7.3,0.73,"Preventivo",120
"M095","Lijado","Critica","C",2014-06-16,6.55,1460,17,0.774,"Correctivo",NA
"M096","Mecanizado","Auxiliar","B",2014-02-18,6.87,1460,15.4,0.667,"Preventivo",120
"M097","Lijado","Auxiliar","C",2021-07-31,0,1249,8.6,0.565,"Correctivo",NA
"M098","Lijado","Auxiliar","B",2021-10-22,0,1166,10.7,0.835,"Correctivo",NA
"M099","Corte","Auxiliar","B",2018-05-20,2.62,1460,9.5,0.975,"Preventivo",120
"M100","Lijado","Critica","C",2018-03-08,2.82,1460,9.7,0.871,"Correctivo",NA
"M101","Lijado","Auxiliar","B",2013-03-17,7.8,1460,16.7,0.747,"Correctivo",NA
"M102","Corte","Auxiliar","A",2014-07-16,6.47,1460,14.7,0.798,"Correctivo",NA
"M103","Acabado","Auxiliar","A",2013-01-26,7.94,1460,10.6,0.866,"Correctivo",NA
"M104","Ensamblaje","Auxiliar","C",2022-09-21,0,832,9.7,0.702,"Correctivo",NA
"M105","Acabado","Importante","B",2022-11-07,0,785,8,0.858,"Preventivo",120
"M106","Mecanizado","Auxiliar","A",2021-06-16,0,1294,6.1,0.771,"Correctivo",NA
"M107","Acabado","Importante","A",2023-01-07,0,724,15.7,0.852,"Correctivo",NA
"M108","Lijado","Auxiliar","A",2019-06-04,1.58,1460,11.3,0.808,"Correctivo",NA
"M109","Corte","Auxiliar","C",2019-05-13,1.64,1460,13,0.414,"Correctivo",NA
"M110","Mecanizado","Importante","C",2014-09-14,6.3,1460,13.1,0.884,"Preventivo",120
"M111","Lijado","Importante","A",2014-04-18,6.71,1460,6.3,0.846,"Correctivo",NA
"M112","Corte","Critica","C",2014-04-26,6.69,1460,6.9,0.564,"Preventivo",120
"M113","Lijado","Auxiliar","A",2018-11-16,2.13,1460,21.6,0.937,"Correctivo",NA
"M114","Mecanizado","Auxiliar","C",2014-07-27,6.44,1460,12.9,0.88,"Correctivo",NA
"M115","Corte","Critica","B",2019-07-31,1.42,1460,19.6,0.657,"Preventivo",90
"M116","Lijado","Auxiliar","A",2020-09-16,0.29,1460,10.9,0.442,"Correctivo",NA
"M117","Acabado","Importante","C",2017-09-25,3.27,1460,13.7,0.65,"Correctivo",NA
"M118","Mecanizado","Critica","C",2020-11-17,0.12,1460,17.4,0.659,"Preventivo",60
"M119","Ensamblaje","Importante","C",2013-04-18,7.71,1460,16.1,0.685,"Preventivo",120
"M120","Mecanizado","Critica","A",2013-10-01,7.26,1460,11.8,0.549,"Preventivo",60
"M121","Mecanizado","Auxiliar","B",2014-04-23,6.7,1460,9.5,0.743,"Correctivo",NA
"M122","Corte","Critica","B",2020-05-07,0.65,1460,14.7,0.656,"Correctivo",NA
"M123","Lijado","Auxiliar","C",2020-06-12,0.56,1460,11.4,0.866,"Correctivo",NA
"M124","Mecanizado","Importante","C",2017-10-02,3.25,1460,15.4,0.54,"Correctivo",NA
"M125","Ensamblaje","Critica","A",2017-05-07,3.66,1460,12.9,0.562,"Preventivo",120
"M126","Ensamblaje","Importante","A",2020-08-13,0.39,1460,14.4,0.707,"Correctivo",NA
"M127","Ensamblaje","Auxiliar","B",2014-12-19,6.04,1460,14.8,0.879,"Preventivo",120
"M128","Ensamblaje","Critica","B",2021-10-25,0,1163,9,0.689,"Correctivo",NA
"M129","Acabado","Critica","B",2013-05-07,7.66,1460,16.5,0.731,"Correctivo",NA
"M130","Mecanizado","Critica","B",2015-05-31,5.59,1460,6.1,0.556,"Preventivo",90
"M131","Ensamblaje","Importante","C",2019-06-17,1.55,1460,15.3,0.65,"Correctivo",NA
"M132","Corte","Auxiliar","A",2021-07-26,0,1254,5.6,0.485,"Correctivo",NA
"M133","Lijado","Importante","B",2014-05-01,6.68,1460,12.8,0.677,"Preventivo",120
"M134","Mecanizado","Importante","B",2020-01-01,1,1460,7.9,0.753,"Correctivo",NA
"M135","Ensamblaje","Auxiliar","A",2015-10-30,5.18,1460,7.1,0.889,"Correctivo",NA
"M136","Corte","Critica","A",2020-05-23,0.61,1460,14.1,0.847,"Correctivo",NA
"M137","Corte","Importante","C",2021-02-13,0,1417,9.9,0.751,"Correctivo",NA
"M138","Mecanizado","Auxiliar","A",2022-08-09,0,875,16.4,0.781,"Correctivo",NA
"M139","Ensamblaje","Critica","A",2018-09-27,2.27,1460,16.6,0.539,"Preventivo",60
"M140","Lijado","Importante","C",2021-12-17,0,1110,15.5,0.887,"Correctivo",NA
"M141","Ensamblaje","Importante","A",2018-10-30,2.18,1460,9.7,0.702,"Preventivo",60
"M142","Corte","Importante","A",2022-05-06,0,970,6.6,0.772,"Preventivo",90
"M143","Corte","Auxiliar","A",2017-07-13,3.47,1460,12,0.262,"Correctivo",NA
"M144","Acabado","Importante","B",2022-10-01,0,822,9.7,0.571,"Correctivo",NA
"M145","Ensamblaje","Importante","B",2015-03-07,5.83,1460,8,0.676,"Correctivo",NA
"M146","Lijado","Critica","A",2022-08-31,0,853,13.9,0.667,"Correctivo",NA
"M147","Ensamblaje","Importante","B",2019-05-30,1.59,1460,10.8,0.516,"Correctivo",NA
"M148","Corte","Critica","C",2014-05-13,6.64,1460,15.8,0.817,"Preventivo",90
"M149","Lijado","Auxiliar","A",2016-12-15,4.05,1460,14.2,0.854,"Correctivo",NA
"M150","Ensamblaje","Importante","C",2020-01-09,0.98,1460,16.2,0.462,"Correctivo",NA
"M151","Corte","Auxiliar","B",2015-10-10,5.23,1460,9.3,0.656,"Correctivo",NA
"M152","Ensamblaje","Critica","A",2023-02-16,0,684,12.5,0.733,"Preventivo",60
"M153","Corte","Critica","C",2013-04-11,7.73,1460,11.6,0.724,"Preventivo",90
"M154","Acabado","Importante","B",2019-03-28,1.77,1460,12,0.611,"Preventivo",120
"M155","Lijado","Auxiliar","A",2019-06-21,1.53,1460,8.8,0.855,"Preventivo",90
"M156","Acabado","Auxiliar","B",2021-03-11,0,1391,20.4,0.833,"Preventivo",60
"M157","Mecanizado","Auxiliar","B",2013-11-26,7.1,1460,13.6,0.574,"Preventivo",90
"M158","Mecanizado","Auxiliar","B",2016-02-29,4.84,1460,14.8,0.838,"Preventivo",90
"M159","Ensamblaje","Auxiliar","C",2020-07-11,0.48,1460,12.4,0.408,"Preventivo",60
"M160","Corte","Auxiliar","C",2018-02-19,2.87,1460,5.3,0.839,"Correctivo",NA
"M161","Corte","Critica","A",2022-12-21,0,741,7.3,0.816,"Preventivo",90
"M162","Acabado","Auxiliar","C",2021-10-25,0,1163,4.6,0.892,"Preventivo",60
"M163","Ensamblaje","Critica","B",2013-02-03,7.92,1460,11.4,0.561,"Preventivo",120
"M164","Corte","Importante","A",2016-07-01,4.51,1460,10.3,0.711,"Correctivo",NA
"M165","Ensamblaje","Critica","A",2013-01-09,7.98,1460,18.6,0.767,"Correctivo",NA
"M166","Mecanizado","Critica","A",2020-03-08,0.82,1460,11.4,0.652,"Preventivo",120
"M167","Ensamblaje","Importante","A",2018-05-17,2.63,1460,6.2,0.894,"Correctivo",NA
"M168","Corte","Critica","B",2019-04-14,1.72,1460,12.6,0.315,"Preventivo",60
"M169","Corte","Auxiliar","A",2022-11-21,0,771,10,0.546,"Correctivo",NA
"M170","Lijado","Importante","A",2017-09-10,3.31,1460,15.7,0.531,"Correctivo",NA
"M171","Acabado","Importante","A",2019-11-22,1.11,1460,6.6,0.663,"Correctivo",NA
"M172","Acabado","Critica","A",2019-01-12,1.97,1460,10.3,0.527,"Correctivo",NA
"M173","Ensamblaje","Auxiliar","A",2013-01-06,7.99,1460,4.6,0.919,"Correctivo",NA
"M174","Corte","Auxiliar","C",2014-01-03,7,1460,12.1,0.633,"Preventivo",90
"M175","Acabado","Auxiliar","B",2022-02-06,0,1059,10.9,0.485,"Correctivo",NA
"M176","Mecanizado","Auxiliar","B",2016-04-26,4.69,1460,6.2,0.531,"Correctivo",NA
"M177","Acabado","Auxiliar","C",2022-10-11,0,812,20.2,0.359,"Correctivo",NA
"M178","Corte","Critica","C",2015-03-04,5.84,1460,11.4,0.71,"Correctivo",NA
"M179","Ensamblaje","Importante","C",2013-08-30,7.35,1460,6.9,0.887,"Preventivo",120
"M180","Ensamblaje","Auxiliar","B",2022-06-11,0,934,8.7,0.626,"Correctivo",NA
"M181","Mecanizado","Importante","A",2019-04-29,1.68,1460,11.9,0.822,"Correctivo",NA
"M182","Lijado","Auxiliar","B",2018-11-29,2.09,1460,8.4,0.843,"Preventivo",90
"M183","Corte","Importante","B",2014-06-09,6.57,1460,16.4,0.646,"Preventivo",120
"M184","Corte","Importante","A",2021-07-25,0,1255,6.8,0.641,"Correctivo",NA
"M185","Corte","Auxiliar","A",2017-03-09,3.82,1460,14.8,0.7,"Correctivo",NA
"M186","Ensamblaje","Critica","A",2014-10-19,6.21,1460,14.4,0.74,"Preventivo",60
"M187","Acabado","Critica","B",2016-10-04,4.25,1460,14.5,0.615,"Correctivo",NA
"M188","Acabado","Auxiliar","A",2018-08-29,2.35,1460,16.3,0.838,"Preventivo",60
"M189","Acabado","Importante","A",2013-07-01,7.51,1460,4.5,0.441,"Preventivo",120
"M190","Acabado","Auxiliar","C",2021-10-03,0,1185,7.1,0.55,"Correctivo",NA
"M191","Corte","Importante","B",2019-11-10,1.15,1460,9,0.775,"Preventivo",120
"M192","Corte","Auxiliar","A",2020-09-27,0.26,1460,15.9,0.366,"Preventivo",120
"M193","Lijado","Auxiliar","A",2020-05-07,0.65,1460,15.3,0.71,"Preventivo",120
"M194","Lijado","Critica","B",2017-01-04,3.99,1460,15,0.56,"Correctivo",NA
"M195","Lijado","Importante","A",2022-04-13,0,993,10.1,0.806,"Correctivo",NA
"M196","Mecanizado","Auxiliar","B",2017-09-24,3.27,1460,8.7,0.743,"Correctivo",NA
"M197","Corte","Importante","C",2015-06-17,5.55,1460,7.4,0.658,"Preventivo",90
"M198","Ensamblaje","Auxiliar","A",2013-08-01,7.42,1460,18.5,0.744,"Correctivo",NA
"M199","Mecanizado","Critica","B",2018-03-16,2.8,1460,11.7,0.62,"Preventivo",120
"M200","Lijado","Critica","B",2016-06-11,4.56,1460,12.6,0.567,"Preventivo",90
"M201","Corte","Auxiliar","C",2022-12-24,0,738,12.6,0.482,"Preventivo",120
"M202","Corte","Importante","A",2019-08-26,1.35,1460,13.8,0.941,"Correctivo",NA
"M203","Acabado","Importante","B",2018-09-27,2.27,1460,14.3,0.66,"Correctivo",NA
"M204","Acabado","Auxiliar","B",2018-03-12,2.81,1460,22.4,0.549,"Correctivo",NA
"M205","Acabado","Importante","A",2019-02-02,1.92,1460,9.8,0.788,"Preventivo",90
"M206","Corte","Importante","C",2015-04-26,5.69,1460,20.7,0.631,"Preventivo",120
"M207","Ensamblaje","Critica","B",2020-06-17,0.54,1460,11.6,0.595,"Correctivo",NA
"M208","Corte","Importante","B",2020-03-15,0.8,1460,10.2,0.915,"Correctivo",NA
"M209","Corte","Importante","A",2018-12-31,2.01,1460,12.6,0.724,"Correctivo",NA
"M210","Ensamblaje","Auxiliar","A",2018-02-24,2.85,1460,13.1,0.758,"Correctivo",NA
"M211","Mecanizado","Importante","A",2017-04-11,3.73,1460,11.4,0.824,"Preventivo",120
"M212","Corte","Auxiliar","C",2015-10-24,5.19,1460,13.8,0.775,"Correctivo",NA
"M213","Corte","Critica","B",2020-09-04,0.33,1460,15.1,0.714,"Correctivo",NA
"M214","Acabado","Auxiliar","A",2023-01-16,0,715,10.5,0.819,"Correctivo",NA
"M215","Acabado","Critica","A",2017-08-14,3.39,1460,14.5,0.627,"Correctivo",NA
"M216","Ensamblaje","Importante","C",2017-01-12,3.97,1460,11.6,0.87,"Correctivo",NA
"M217","Mecanizado","Importante","B",2021-07-10,0,1270,12.1,0.538,"Correctivo",NA
"M218","Acabado","Auxiliar","C",2021-05-28,0,1313,12.7,0.548,"Correctivo",NA
"M219","Acabado","Importante","B",2016-04-10,4.73,1460,11.7,0.458,"Preventivo",90
"M220","Mecanizado","Auxiliar","C",2013-06-29,7.52,1460,8.8,0.26,"Correctivo",NA
"M221","Lijado","Auxiliar","A",2018-01-17,2.96,1460,11,0.587,"Preventivo",120
"M222","Mecanizado","Importante","C",2014-10-03,6.25,1460,4.9,0.467,"Correctivo",NA
"M223","Lijado","Importante","A",2013-09-27,7.27,1460,18.9,0.281,"Preventivo",120
"M224","Acabado","Auxiliar","B",2020-06-05,0.58,1460,13.1,0.801,"Preventivo",90
"M225","Corte","Auxiliar","C",2017-09-02,3.33,1460,8.9,0.785,"Preventivo",60
"M226","Corte","Importante","A",2017-11-16,3.13,1460,16.1,0.448,"Correctivo",NA
"M227","Mecanizado","Auxiliar","C",2015-09-18,5.29,1460,9.6,0.765,"Preventivo",60
"M228","Mecanizado","Critica","C",2020-05-17,0.63,1460,12.4,0.641,"Preventivo",90
"M229","Corte","Auxiliar","C",2023-01-04,0,727,10,0.774,"Correctivo",NA
"M230","Ensamblaje","Auxiliar","B",2013-07-22,7.45,1460,4.5,0.564,"Preventivo",90
"M231","Ensamblaje","Importante","A",2021-07-25,0,1255,13.8,0.487,"Preventivo",90
"M232","Mecanizado","Auxiliar","C",2017-01-25,3.94,1460,5.7,0.737,"Preventivo",120
"M233","Lijado","Importante","C",2016-02-06,4.91,1460,8.3,0.782,"Preventivo",120
"M234","Corte","Auxiliar","B",2018-01-20,2.95,1460,11,0.722,"Correctivo",NA
"M235","Corte","Auxiliar","A",2015-10-30,5.18,1460,8.4,0.568,"Correctivo",NA
"M236","Corte","Auxiliar","B",2014-01-06,6.99,1460,11.9,0.746,"Preventivo",120
"M237","Ensamblaje","Critica","B",2020-06-11,0.56,1460,4.5,0.432,"Correctivo",NA
"M238","Acabado","Auxiliar","A",2016-09-07,4.32,1460,3.1,0.784,"Correctivo",NA
"M239","Mecanizado","Importante","C",2016-08-27,4.35,1460,6.2,0.693,"Correctivo",NA
"M240","Mecanizado","Auxiliar","B",2020-02-02,0.92,1460,6.1,0.598,"Correctivo",NA
"M241","Corte","Auxiliar","A",2016-03-30,4.76,1460,13.4,0.751,"Correctivo",NA
"M242","Acabado","Auxiliar","A",2017-10-05,3.24,1460,10.2,0.523,"Correctivo",NA
"M243","Mecanizado","Importante","C",2015-07-28,5.44,1460,10.8,0.906,"Preventivo",120
"M244","Ensamblaje","Importante","A",2017-08-27,3.35,1460,16.8,0.382,"Correctivo",NA
"M245","Mecanizado","Importante","C",2016-03-29,4.76,1460,13.6,0.953,"Correctivo",NA
"M246","Mecanizado","Critica","A",2020-08-26,0.35,1460,15.1,0.86,"Correctivo",NA
"M247","Corte","Auxiliar","A",2023-03-25,0,647,12,0.913,"Preventivo",90
"M248","Ensamblaje","Auxiliar","C",2013-03-17,7.8,1460,6.4,0.798,"Correctivo",NA
"M249","Ensamblaje","Auxiliar","A",2020-02-11,0.89,1460,5.8,0.802,"Correctivo",NA
"M250","Ensamblaje","Auxiliar","C",2013-04-21,7.7,1460,6.2,0.824,"Correctivo",NA
"M251","Ensamblaje","Auxiliar","C",2019-07-04,1.5,1460,12.2,0.9,"Preventivo",90
"M252","Corte","Auxiliar","B",2016-12-25,4.02,1460,18.6,0.627,"Correctivo",NA
"M253","Mecanizado","Auxiliar","C",2016-09-27,4.27,1460,14.7,0.663,"Preventivo",120
"M254","Acabado","Importante","A",2016-03-22,4.78,1460,9.4,0.569,"Correctivo",NA
"M255","Lijado","Auxiliar","A",2021-05-19,0,1322,10,0.66,"Preventivo",60
"M256","Lijado","Critica","C",2019-01-07,1.99,1460,9.7,0.417,"Preventivo",90
"M257","Mecanizado","Critica","A",2016-07-18,4.46,1460,18,0.758,"Preventivo",90
"M258","Acabado","Importante","A",2016-11-21,4.12,1460,14.2,0.749,"Preventivo",90
"M259","Mecanizado","Importante","B",2020-10-22,0.19,1460,12.4,0.689,"Correctivo",NA
"M260","Lijado","Importante","A",2013-04-30,7.68,1460,11.3,0.557,"Preventivo",60
"M261","Acabado","Importante","B",2015-05-27,5.61,1460,22.6,0.666,"Correctivo",NA
"M262","Acabado","Importante","A",2021-08-10,0,1239,6.2,0.718,"Correctivo",NA
"M263","Lijado","Auxiliar","B",2015-11-10,5.15,1460,10.6,0.74,"Preventivo",90
"M264","Ensamblaje","Importante","B",2019-09-12,1.31,1460,11.2,0.376,"Preventivo",60
"M265","Mecanizado","Critica","A",2015-09-16,5.3,1460,14.2,0.799,"Preventivo",120
"M266","Lijado","Importante","A",2016-04-08,4.74,1460,7.2,0.707,"Preventivo",60
"M267","Lijado","Importante","C",2018-03-16,2.8,1460,9.8,0.563,"Correctivo",NA
"M268","Lijado","Importante","C",2019-06-12,1.56,1460,14,0.88,"Preventivo",90
"M269","Lijado","Critica","B",2018-12-20,2.04,1460,11,0.372,"Preventivo",120
"M270","Lijado","Critica","A",2017-12-16,3.05,1460,12.5,0.878,"Correctivo",NA
"M271","Corte","Importante","A",2016-05-08,4.65,1460,3,0.908,"Correctivo",NA
"M272","Mecanizado","Importante","C",2017-01-16,3.96,1460,15,0.702,"Correctivo",NA
"M273","Lijado","Auxiliar","A",2015-06-06,5.58,1460,13.7,0.715,"Correctivo",NA
"M274","Ensamblaje","Importante","C",2016-03-19,4.79,1460,9.1,0.727,"Correctivo",NA
"M275","Lijado","Auxiliar","A",2017-03-23,3.78,1460,9.3,0.725,"Correctivo",NA
"M276","Ensamblaje","Critica","B",2021-05-22,0,1319,4.5,0.776,"Preventivo",120
"M277","Lijado","Importante","B",2022-08-14,0,870,9.9,0.576,"Correctivo",NA
"M278","Lijado","Auxiliar","B",2023-02-20,0,680,14.7,0.663,"Correctivo",NA
"M279","Lijado","Auxiliar","A",2013-01-28,7.93,1460,9,0.471,"Correctivo",NA
"M280","Acabado","Critica","A",2016-06-03,4.58,1460,8.4,0.61,"Preventivo",90
"M281","Corte","Critica","A",2021-11-10,0,1147,16.1,0.785,"Preventivo",90
"M282","Acabado","Importante","B",2015-12-02,5.09,1460,9.3,0.695,"Correctivo",NA
"M283","Ensamblaje","Importante","B",2022-10-29,0,794,14.3,0.69,"Correctivo",NA
"M284","Acabado","Critica","C",2021-08-17,0,1232,5.5,0.479,"Correctivo",NA
"M285","Mecanizado","Critica","C",2020-07-15,0.47,1460,10.9,0.828,"Preventivo",60
"M286","Corte","Importante","B",2014-09-01,6.34,1460,12.4,0.689,"Preventivo",60
"M287","Acabado","Critica","A",2016-07-20,4.45,1460,14.4,0.686,"Preventivo",60
"M288","Ensamblaje","Auxiliar","B",2022-12-30,0,732,7.3,0.896,"Preventivo",120
"M289","Corte","Auxiliar","C",2014-06-29,6.52,1460,6.3,0.952,"Correctivo",NA
