"id_maquina","n_intervalo","tiempo_entre","evento","antiguedad_ini","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M022",1,656.53,1,0,"Acabado","Auxiliar","A",0.613,"Correctivo",NA
"M022",2,280.47,0,1.799,"Acabado","Auxiliar","A",0.613,"Correctivo",NA
"M023",1,1135.31,1,4.937,"Mecanizado","Critica","C",0.559,"Preventivo",120
"M023",2,324.69,0,8.047,"Mecanizado","Critica","C",0.559,"Preventivo",120
"M024",1,431.97,1,4.636,"Corte","Critica","B",0.538,"Preventivo",90
"M024",2,984.57,1,5.819,"Corte","Critica","B",0.538,"Preventivo",90
"M024",3,43.46,0,8.517,"Corte","Critica","B",0.538,"Preventivo",90
"M025",1,14.75,1,1.507,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",2,22.98,1,1.547,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",3,42.18,1,1.61,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",4,640.87,1,1.726,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",5,270.68,1,3.482,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",6,362.26,1,4.223,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",7,106.28,0,5.216,"Corte","Importante","B",0.746,"Correctivo",NA
"M026",1,1451.48,1,4.03,"Corte","Importante","C",0.575,"Preventivo",60
"M026",2,8.52,0,8.007,"Corte","Importante","C",0.575,"Preventivo",60
"M027",1,47.95,1,2.674,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",2,133.89,1,2.805,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",3,3.77,1,3.172,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",4,762.19,1,3.183,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",5,345.74,1,5.271,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",6,166.46,0,6.218,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M028",1,371.86,1,5.082,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",2,87.23,1,6.101,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",3,458.11,1,6.34,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",4,10.95,1,7.595,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",5,260.9,1,7.625,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",6,131.44,1,8.34,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",7,139.51,0,8.7,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M029",1,475.22,1,7.921,"Ensamblaje","Importante","C",0.482,"Preventivo",90
"M029",2,984.78,0,9.223,"Ensamblaje","Importante","C",0.482,"Preventivo",90
"M030",1,946.28,1,7.901,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",2,20.25,1,10.494,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",3,341.34,1,10.549,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",4,66.05,1,11.485,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",5,86.07,0,11.666,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M031",1,693.44,1,7.614,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",2,173.96,1,9.514,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",3,300.65,1,9.99,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",4,40.67,1,10.814,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",5,29.14,1,10.925,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",6,222.13,0,11.005,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M032",1,288.83,1,4.584,"Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M032",2,1171.17,0,5.375,"Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M033",1,31.97,1,4.474,"Acabado","Critica","B",0.763,"Correctivo",NA
"M033",2,1428.03,0,4.562,"Acabado","Critica","B",0.763,"Correctivo",NA
"M034",1,173.72,1,5.822,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",2,707.91,1,6.298,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",3,149.05,1,8.237,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",4,140.37,1,8.646,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",5,149.65,1,9.03,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",6,139.31,0,9.44,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M035",1,771.51,1,5.726,"Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M035",2,688.49,0,7.84,"Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M036",1,1013.08,1,0.762,"Acabado","Importante","B",0.708,"Correctivo",NA
"M036",2,446.92,0,3.537,"Acabado","Importante","B",0.708,"Correctivo",NA
"M037",1,1460,0,1.112,"Acabado","Importante","A",0.529,"Correctivo",NA
"M038",1,99.46,1,2.542,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",2,198.81,1,2.815,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",3,202.54,1,3.36,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",4,573.61,1,3.915,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",5,98.17,1,5.486,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",6,30.97,1,5.755,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",7,256.43,0,5.84,"Acabado","Importante","A",0.24,"Correctivo",NA
"M039",1,498.23,1,4.753,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",2,338.51,1,6.118,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",3,149.17,1,7.046,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",4,9.65,1,7.455,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",5,464.44,0,7.481,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M040",1,36.6,1,7.945,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",2,918.55,1,8.045,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",3,379.16,1,10.562,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",4,125.69,0,11.601,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M041",1,614.74,1,2.8,"Acabado","Auxiliar","C",0.328,"Preventivo",90
"M041",2,845.26,0,4.484,"Acabado","Auxiliar","C",0.328,"Preventivo",90
"M042",1,100.61,1,3.847,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",2,25.18,1,4.122,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",3,213.99,1,4.191,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",4,330.48,1,4.777,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",5,377.71,1,5.683,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",6,93.11,1,6.718,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",7,29.02,1,6.973,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",8,8.6,1,7.052,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",9,281.3,0,7.076,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M043",1,29.49,1,0,"Lijado","Auxiliar","B",0.87,"Preventivo",90
"M043",2,391.56,1,0.081,"Lijado","Auxiliar","B",0.87,"Preventivo",90
"M043",3,276.95,0,1.154,"Lijado","Auxiliar","B",0.87,"Preventivo",90
"M044",1,359.72,1,2.329,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",2,109.7,1,3.314,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",3,80.06,1,3.615,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",4,373.8,1,3.834,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",5,504.77,1,4.858,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",6,31.95,0,6.241,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M045",1,410.57,1,6.688,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",2,248.5,1,7.813,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",3,203.68,1,8.493,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",4,0.85,1,9.051,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",5,29.93,1,9.054,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",6,163.57,1,9.136,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",7,47.88,1,9.584,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",8,163.9,1,9.715,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",9,36.65,1,10.164,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",10,97.9,1,10.264,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",11,56.57,0,10.533,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M046",1,509.05,1,3.342,"Mecanizado","Critica","A",0.656,"Preventivo",60
"M046",2,950.95,0,4.737,"Mecanizado","Critica","A",0.656,"Preventivo",60
"M047",1,350.83,1,3.216,"Lijado","Critica","B",0.689,"Correctivo",NA
"M047",2,324.97,1,4.178,"Lijado","Critica","B",0.689,"Correctivo",NA
"M047",3,784.2,0,5.068,"Lijado","Critica","B",0.689,"Correctivo",NA
"M048",1,180.12,1,1.942,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",2,204.54,1,2.436,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",3,25.25,1,2.996,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",4,776.49,1,3.066,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",5,154.93,1,5.193,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",6,7.15,1,5.617,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",7,111.52,0,5.637,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M049",1,59.25,1,7.397,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",2,324.4,1,7.56,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",3,0.93,1,8.448,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",4,109.28,1,8.451,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",5,57.78,1,8.75,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",6,699,1,8.909,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",7,190.1,1,10.824,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",8,19.26,0,11.344,"Acabado","Importante","B",0.82,"Preventivo",120
"M050",1,843.49,1,0,"Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M050",2,422.51,0,2.311,"Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M051",1,710,0,0,"Corte","Auxiliar","A",0.589,"Correctivo",NA
"M052",1,156.42,1,0,"Lijado","Importante","C",0.827,"Correctivo",NA
"M052",2,318.38,1,0.429,"Lijado","Importante","C",0.827,"Correctivo",NA
"M052",3,297.45,1,1.301,"Lijado","Importante","C",0.827,"Correctivo",NA
"M052",4,210.76,0,2.116,"Lijado","Importante","C",0.827,"Correctivo",NA
"M053",1,624.84,1,6.351,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M053",2,132.69,1,8.063,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M053",3,702.47,0,8.426,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M054",1,1092.25,1,7.699,"Lijado","Importante","B",0.637,"Preventivo",120
"M054",2,170.7,1,10.691,"Lijado","Importante","B",0.637,"Preventivo",120
"M054",3,69.02,1,11.159,"Lijado","Importante","B",0.637,"Preventivo",120
"M054",4,128.04,0,11.348,"Lijado","Importante","B",0.637,"Preventivo",120
"M055",1,590.51,1,6.729,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M055",2,840.28,1,8.347,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M055",3,29.21,0,10.649,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M056",1,535,1,7.227,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M056",2,450.71,1,8.693,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M056",3,428.77,1,9.928,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M056",4,45.52,0,11.103,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M057",1,125.38,1,3.764,"Lijado","Importante","B",0.84,"Correctivo",NA
"M057",2,809.83,1,4.108,"Lijado","Importante","B",0.84,"Correctivo",NA
"M057",3,524.79,0,6.327,"Lijado","Importante","B",0.84,"Correctivo",NA
"M058",1,320.33,1,0,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M058",2,213.68,1,0.878,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M058",3,632,0,1.463,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M059",1,280.39,1,2.94,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",2,999.44,1,3.708,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",3,141.15,1,6.446,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",4,13.82,1,6.833,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",5,25.19,0,6.871,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M060",1,34.02,1,0,"Corte","Importante","A",0.603,"Correctivo",NA
"M060",2,575.98,0,0.093,"Corte","Importante","A",0.603,"Correctivo",NA
"M061",1,254.22,1,6.748,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",2,94.59,1,7.444,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",3,373.5,1,7.704,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",4,80.16,1,8.727,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",5,94.69,1,8.946,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",6,66.62,1,9.206,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",7,256.97,1,9.388,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",8,41.83,1,10.092,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",9,197.44,0,10.207,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M062",1,1460,0,4.137,"Ensamblaje","Importante","B",0.495,"Preventivo",60
"M063",1,387.37,1,5.548,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",2,16.36,1,6.609,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",3,149.05,1,6.654,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",4,488.37,1,7.062,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",5,292.99,1,8.4,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",6,125.85,0,9.203,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M064",1,1092.02,1,1.907,"Lijado","Critica","C",0.729,"Preventivo",120
"M064",2,367.98,0,4.899,"Lijado","Critica","C",0.729,"Preventivo",120
"M065",1,3.53,1,1.093,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M065",2,1336.1,1,1.103,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M065",3,120.37,0,4.763,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M066",1,39.54,1,5.868,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M066",2,1257.11,1,5.977,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M066",3,163.35,0,9.421,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M067",1,143.9,1,0.121,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M067",2,322.24,1,0.515,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M067",3,846.89,1,1.398,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M067",4,146.97,0,3.718,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M068",1,1427.35,1,2.493,"Mecanizado","Importante","A",0.54,"Preventivo",60
"M068",2,32.65,0,6.404,"Mecanizado","Importante","A",0.54,"Preventivo",60
"M069",1,475.24,1,0.148,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",2,35.83,1,1.45,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",3,262.48,1,1.548,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",4,232.97,1,2.267,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",5,147.09,1,2.906,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",6,166.32,1,3.309,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",7,140.07,0,3.764,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M070",1,53.44,1,6.373,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",2,244.06,1,6.519,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",3,89.33,1,7.188,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",4,614.55,1,7.432,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",5,174.36,1,9.116,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",6,45.41,1,9.594,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",7,20.13,1,9.718,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",8,177.37,1,9.773,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",9,9.63,1,10.259,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",10,31.72,0,10.286,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M071",1,30.74,1,3.449,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",2,196.22,1,3.534,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",3,4.93,1,4.071,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",4,121.74,1,4.085,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",5,660.29,1,4.418,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",6,0.81,1,6.227,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",7,99.86,1,6.229,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",8,193.37,1,6.503,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",9,123.97,1,7.033,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",10,26.66,1,7.372,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",11,1.41,0,7.445,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M072",1,188.71,1,5.06,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",2,52.82,1,5.577,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",3,124.37,1,5.722,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",4,455,1,6.063,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",5,291.09,1,7.309,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",6,167.95,1,8.107,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",7,180.06,0,8.567,"Corte","Importante","A",0.344,"Correctivo",NA
"M073",1,987.22,1,0,"Acabado","Critica","C",0.704,"Preventivo",90
"M073",2,58.78,0,2.705,"Acabado","Critica","C",0.704,"Preventivo",90
"M074",1,413.65,1,0,"Mecanizado","Auxiliar","B",0.364,"Correctivo",NA
"M074",2,470.35,0,1.133,"Mecanizado","Auxiliar","B",0.364,"Correctivo",NA
"M075",1,90.56,1,4.781,"Corte","Critica","B",0.748,"Preventivo",120
"M075",2,263.49,1,5.029,"Corte","Critica","B",0.748,"Preventivo",120
"M075",3,378.28,1,5.751,"Corte","Critica","B",0.748,"Preventivo",120
"M075",4,519.2,1,6.787,"Corte","Critica","B",0.748,"Preventivo",120
"M075",5,114.15,1,8.21,"Corte","Critica","B",0.748,"Preventivo",120
