"id_maquina","mes","tstart","tstop","exposicion","n_fallos","fallo","antiguedad","dias_desde_mant","mant_reciente","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M001",48,1410,1440,30,0,0,6.447,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",49,1440,1460,20,0,0,6.515,98,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M002",1,0,30,30,0,0,1.507,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",2,30,60,30,0,0,1.589,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",3,60,90,30,0,0,1.671,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",4,90,120,30,0,0,1.753,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",5,120,150,30,0,0,1.836,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",6,150,180,30,0,0,1.918,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",7,180,210,30,0,0,2,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",8,210,240,30,0,0,2.082,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",9,240,270,30,0,0,2.164,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",10,270,300,30,0,0,2.247,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",11,300,330,30,0,0,2.329,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",12,330,360,30,0,0,2.411,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",13,360,390,30,0,0,2.493,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",14,390,420,30,0,0,2.575,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",15,420,450,30,1,1,2.658,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",16,450,480,30,0,0,2.74,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",17,480,510,30,0,0,2.822,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",18,510,540,30,0,0,2.904,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",19,540,570,30,0,0,2.986,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",20,570,600,30,0,0,3.068,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",21,600,630,30,0,0,3.151,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",22,630,660,30,0,0,3.233,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",23,660,690,30,0,0,3.315,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",24,690,720,30,0,0,3.397,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",25,720,750,30,0,0,3.479,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",26,750,780,30,0,0,3.562,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",27,780,810,30,0,0,3.644,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",28,810,840,30,0,0,3.726,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",29,840,870,30,0,0,3.808,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",30,870,900,30,0,0,3.89,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",31,900,930,30,0,0,3.973,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",32,930,960,30,0,0,4.055,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",33,960,990,30,0,0,4.137,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",34,990,1020,30,0,0,4.219,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",35,1020,1050,30,0,0,4.301,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",36,1050,1080,30,0,0,4.384,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",37,1080,1110,30,0,0,4.466,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",38,1110,1140,30,0,0,4.548,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",39,1140,1170,30,0,0,4.63,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",40,1170,1200,30,0,0,4.712,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",41,1200,1230,30,0,0,4.795,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",42,1230,1260,30,0,0,4.877,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",43,1260,1290,30,0,0,4.959,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",44,1290,1320,30,2,1,5.041,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",45,1320,1350,30,0,0,5.123,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",46,1350,1380,30,0,0,5.205,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",47,1380,1410,30,0,0,5.288,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",48,1410,1440,30,0,0,5.37,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",49,1440,1460,20,0,0,5.438,NA,0,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M003",1,838,868,30,0,0,0.041,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",2,868,898,30,0,0,0.123,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",3,898,928,30,0,0,0.205,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",4,928,958,30,0,0,0.288,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",5,958,988,30,0,0,0.37,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",6,988,1018,30,0,0,0.452,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",7,1018,1048,30,0,0,0.534,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",8,1048,1078,30,0,0,0.616,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",9,1078,1108,30,0,0,0.699,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",10,1108,1138,30,0,0,0.781,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",11,1138,1168,30,0,0,0.863,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",12,1168,1198,30,0,0,0.945,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",13,1198,1228,30,0,0,1.027,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",14,1228,1258,30,0,0,1.11,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",15,1258,1288,30,0,0,1.192,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",16,1288,1318,30,0,0,1.274,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",17,1318,1348,30,0,0,1.356,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",18,1348,1378,30,0,0,1.438,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",19,1378,1408,30,0,0,1.521,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",20,1408,1438,30,0,0,1.603,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",21,1438,1460,22,0,0,1.674,NA,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M004",1,0,30,30,1,1,5.795,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",2,30,60,30,2,1,5.877,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",3,60,90,30,0,0,5.959,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",4,90,120,30,0,0,6.041,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",5,120,150,30,0,0,6.123,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",6,150,180,30,0,0,6.205,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",7,180,210,30,0,0,6.288,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",8,210,240,30,0,0,6.37,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",9,240,270,30,0,0,6.452,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",10,270,300,30,0,0,6.534,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",11,300,330,30,0,0,6.616,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",12,330,360,30,0,0,6.699,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",13,360,390,30,0,0,6.781,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",14,390,420,30,0,0,6.863,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",15,420,450,30,0,0,6.945,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",16,450,480,30,1,1,7.027,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",17,480,510,30,0,0,7.11,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",18,510,540,30,0,0,7.192,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",19,540,570,30,0,0,7.274,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",20,570,600,30,0,0,7.356,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",21,600,630,30,0,0,7.438,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",22,630,660,30,0,0,7.521,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",23,660,690,30,0,0,7.603,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",24,690,720,30,0,0,7.685,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",25,720,750,30,0,0,7.767,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",26,750,780,30,0,0,7.849,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",27,780,810,30,1,1,7.932,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",28,810,840,30,0,0,8.014,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",29,840,870,30,0,0,8.096,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",30,870,900,30,1,1,8.178,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",31,900,930,30,0,0,8.26,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",32,930,960,30,0,0,8.342,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",33,960,990,30,0,0,8.425,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",34,990,1020,30,0,0,8.507,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",35,1020,1050,30,0,0,8.589,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",36,1050,1080,30,0,0,8.671,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",37,1080,1110,30,0,0,8.753,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",38,1110,1140,30,0,0,8.836,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",39,1140,1170,30,0,0,8.918,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",40,1170,1200,30,0,0,9,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",41,1200,1230,30,0,0,9.082,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",42,1230,1260,30,0,0,9.164,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",43,1260,1290,30,1,1,9.247,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",44,1290,1320,30,0,0,9.329,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",45,1320,1350,30,0,0,9.411,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",46,1350,1380,30,0,0,9.493,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",47,1380,1410,30,0,0,9.575,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",48,1410,1440,30,0,0,9.658,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",49,1440,1460,20,0,0,9.726,NA,0,"Acabado","Importante","A",0.734,"Correctivo",NA
"M005",1,0,30,30,0,0,4.699,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",2,30,60,30,0,0,4.781,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",3,60,90,30,0,0,4.863,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",4,90,120,30,0,0,4.945,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",5,120,150,30,0,0,5.027,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",6,150,180,30,0,0,5.11,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",7,180,210,30,0,0,5.192,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",8,210,240,30,0,0,5.274,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",9,240,270,30,1,1,5.356,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",10,270,300,30,0,0,5.438,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",11,300,330,30,0,0,5.521,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",12,330,360,30,0,0,5.603,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",13,360,390,30,0,0,5.685,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",14,390,420,30,0,0,5.767,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",15,420,450,30,0,0,5.849,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",16,450,480,30,0,0,5.932,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",17,480,510,30,0,0,6.014,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",18,510,540,30,0,0,6.096,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",19,540,570,30,0,0,6.178,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",20,570,600,30,0,0,6.26,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",21,600,630,30,0,0,6.342,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",22,630,660,30,0,0,6.425,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",23,660,690,30,1,1,6.507,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",24,690,720,30,0,0,6.589,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",25,720,750,30,0,0,6.671,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",26,750,780,30,0,0,6.753,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",27,780,810,30,0,0,6.836,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",28,810,840,30,0,0,6.918,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",29,840,870,30,0,0,7,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",30,870,900,30,0,0,7.082,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",31,900,930,30,0,0,7.164,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",32,930,960,30,0,0,7.247,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",33,960,990,30,0,0,7.329,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",34,990,1020,30,1,1,7.411,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",35,1020,1050,30,0,0,7.493,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",36,1050,1080,30,0,0,7.575,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",37,1080,1110,30,0,0,7.658,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",38,1110,1140,30,0,0,7.74,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",39,1140,1170,30,0,0,7.822,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",40,1170,1200,30,0,0,7.904,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",41,1200,1230,30,0,0,7.986,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",42,1230,1260,30,0,0,8.068,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",43,1260,1290,30,0,0,8.151,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",44,1290,1320,30,0,0,8.233,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",45,1320,1350,30,0,0,8.315,35,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",46,1350,1380,30,0,0,8.397,65,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",47,1380,1410,30,0,0,8.479,95,0,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",48,1410,1440,30,0,0,8.562,5,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",49,1440,1460,20,0,0,8.63,30,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M006",1,321,351,30,0,0,0.041,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",2,351,381,30,0,0,0.123,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",3,381,411,30,0,0,0.205,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",4,411,441,30,0,0,0.288,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",5,441,471,30,0,0,0.37,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",6,471,501,30,0,0,0.452,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",7,501,531,30,0,0,0.534,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",8,531,561,30,0,0,0.616,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",9,561,591,30,0,0,0.699,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",10,591,621,30,0,0,0.781,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",11,621,651,30,0,0,0.863,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",12,651,681,30,0,0,0.945,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",13,681,711,30,0,0,1.027,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",14,711,741,30,0,0,1.11,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",15,741,771,30,0,0,1.192,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",16,771,801,30,0,0,1.274,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",17,801,831,30,0,0,1.356,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",18,831,861,30,0,0,1.438,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",19,861,891,30,0,0,1.521,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",20,891,921,30,0,0,1.603,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",21,921,951,30,0,0,1.685,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",22,951,981,30,0,0,1.767,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",23,981,1011,30,0,0,1.849,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",24,1011,1041,30,0,0,1.932,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",25,1041,1071,30,0,0,2.014,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",26,1071,1101,30,0,0,2.096,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",27,1101,1131,30,0,0,2.178,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",28,1131,1161,30,0,0,2.26,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",29,1161,1191,30,1,1,2.342,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",30,1191,1221,30,0,0,2.425,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",31,1221,1251,30,0,0,2.507,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",32,1251,1281,30,0,0,2.589,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",33,1281,1311,30,0,0,2.671,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",34,1311,1341,30,0,0,2.753,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",35,1341,1371,30,0,0,2.836,45,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",36,1371,1401,30,1,1,2.918,75,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",37,1401,1431,30,0,0,3,15,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",38,1431,1460,29,0,0,3.081,44.5,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M007",1,0,30,30,0,0,2.252,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",2,30,60,30,0,0,2.334,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",3,60,90,30,0,0,2.416,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",4,90,120,30,0,0,2.499,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",5,120,150,30,0,0,2.581,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",6,150,180,30,0,0,2.663,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",7,180,210,30,0,0,2.745,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",8,210,240,30,0,0,2.827,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",9,240,270,30,1,1,2.91,NA,0,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
