"id_maquina","anio","coste_total","n_averias","exposicion","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M025",3,1200.42,1,1,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",4,684.25,1,1,"Corte","Importante","B",0.746,"Correctivo",NA
"M026",1,0,0,1,"Corte","Importante","C",0.575,"Preventivo",60
"M026",2,0,0,1,"Corte","Importante","C",0.575,"Preventivo",60
"M026",3,0,0,1,"Corte","Importante","C",0.575,"Preventivo",60
"M026",4,889.87,1,1,"Corte","Importante","C",0.575,"Preventivo",60
"M027",1,5438.11,3,1,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",2,0,0,1,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",3,2641.1,1,1,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",4,1935.52,1,1,"Mecanizado","Critica","A",0.665,"Correctivo",NA
"M028",1,0,0,1,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",2,1610.93,2,1,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",3,1835.06,2,1,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",4,1625.98,2,1,"Corte","Auxiliar","A",0.57,"Correctivo",NA
"M029",1,0,0,1,"Ensamblaje","Importante","C",0.482,"Preventivo",90
"M029",2,657.54,1,1,"Ensamblaje","Importante","C",0.482,"Preventivo",90
"M029",3,0,0,1,"Ensamblaje","Importante","C",0.482,"Preventivo",90
"M029",4,0,0,1,"Ensamblaje","Importante","C",0.482,"Preventivo",90
"M030",1,0,0,1,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",2,0,0,1,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",3,3021.98,2,1,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",4,4959.13,2,1,"Corte","Auxiliar","A",0.771,"Preventivo",60
"M031",1,0,0,1,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",2,643.27,1,1,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",3,484.39,1,1,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",4,2153.07,3,1,"Acabado","Auxiliar","C",0.533,"Preventivo",90
"M032",1,1508.87,1,1,"Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M032",2,0,0,1,"Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M032",3,0,0,1,"Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M032",4,0,0,1,"Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M033",1,1508.91,1,1,"Acabado","Critica","B",0.763,"Correctivo",NA
"M033",2,0,0,1,"Acabado","Critica","B",0.763,"Correctivo",NA
"M033",3,0,0,1,"Acabado","Critica","B",0.763,"Correctivo",NA
"M033",4,0,0,1,"Acabado","Critica","B",0.763,"Correctivo",NA
"M034",1,369.8,1,1,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",2,0,0,1,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",3,1829.59,2,1,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",4,1676.9,2,1,"Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M035",1,0,0,1,"Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M035",2,0,0,1,"Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M035",3,478.48,1,1,"Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M035",4,0,0,1,"Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M036",1,0,0,1,"Acabado","Importante","B",0.708,"Correctivo",NA
"M036",2,0,0,1,"Acabado","Importante","B",0.708,"Correctivo",NA
"M036",3,1687.87,1,1,"Acabado","Importante","B",0.708,"Correctivo",NA
"M036",4,0,0,1,"Acabado","Importante","B",0.708,"Correctivo",NA
"M037",1,0,0,1,"Acabado","Importante","A",0.529,"Correctivo",NA
"M037",2,0,0,1,"Acabado","Importante","A",0.529,"Correctivo",NA
"M037",3,0,0,1,"Acabado","Importante","A",0.529,"Correctivo",NA
"M037",4,0,0,1,"Acabado","Importante","A",0.529,"Correctivo",NA
"M038",1,2642.38,2,1,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",2,885.92,1,1,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",3,997.15,1,1,"Acabado","Importante","A",0.24,"Correctivo",NA
"M038",4,3222.04,2,1,"Acabado","Importante","A",0.24,"Correctivo",NA
"M039",1,0,0,1,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",2,427.84,1,1,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",3,2791.74,3,1,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",4,0,0,1,"Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M040",1,500.76,1,1,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",2,0,0,1,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",3,1072,1,1,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",4,1113.77,1,1,"Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M041",1,0,0,1,"Acabado","Auxiliar","C",0.328,"Preventivo",90
"M041",2,739.32,1,1,"Acabado","Auxiliar","C",0.328,"Preventivo",90
"M041",3,0,0,1,"Acabado","Auxiliar","C",0.328,"Preventivo",90
"M041",4,0,0,1,"Acabado","Auxiliar","C",0.328,"Preventivo",90
"M042",1,2553.03,3,1,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",2,494.76,1,1,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",3,488.01,1,1,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",4,969.46,3,1,"Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M043",3,1349.29,1,0.912,"Lijado","Auxiliar","B",0.87,"Preventivo",90
"M043",4,995,1,1,"Lijado","Auxiliar","B",0.87,"Preventivo",90
"M044",1,1595.13,1,1,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",2,4164.94,2,1,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",3,3700.36,1,1,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",4,1672.31,1,1,"Mecanizado","Critica","A",0.873,"Correctivo",NA
"M045",1,0,0,1,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",2,3621.91,2,1,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",3,5666.86,4,1,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",4,8496.43,4,1,"Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M046",1,0,0,1,"Mecanizado","Critica","A",0.656,"Preventivo",60
"M046",2,889.05,1,1,"Mecanizado","Critica","A",0.656,"Preventivo",60
"M046",3,0,0,1,"Mecanizado","Critica","A",0.656,"Preventivo",60
"M046",4,0,0,1,"Mecanizado","Critica","A",0.656,"Preventivo",60
"M047",1,1335.01,1,1,"Lijado","Critica","B",0.689,"Correctivo",NA
"M047",2,1019.6,1,1,"Lijado","Critica","B",0.689,"Correctivo",NA
"M047",3,0,0,1,"Lijado","Critica","B",0.689,"Correctivo",NA
"M047",4,0,0,1,"Lijado","Critica","B",0.689,"Correctivo",NA
"M048",1,1518.22,1,1,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",2,2358.79,2,1,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",3,0,0,1,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",4,1379.23,3,1,"Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M049",1,991.99,1,1,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",2,5471.35,4,1,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",3,0,0,1,"Acabado","Importante","B",0.82,"Preventivo",120
"M049",4,2438.4,2,1,"Acabado","Importante","B",0.82,"Preventivo",120
"M050",1,0,0,0.468,"Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M050",2,0,0,1,"Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M050",3,808,1,1,"Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M050",4,0,0,1,"Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M051",3,0,0,0.945,"Corte","Auxiliar","A",0.589,"Correctivo",NA
"M051",4,0,0,1,"Corte","Auxiliar","A",0.589,"Correctivo",NA
"M052",2,514.37,1,0.693,"Lijado","Importante","C",0.827,"Correctivo",NA
"M052",3,418.45,1,1,"Lijado","Importante","C",0.827,"Correctivo",NA
"M052",4,496.15,1,1,"Lijado","Importante","C",0.827,"Correctivo",NA
"M053",1,0,0,1,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M053",2,389.52,1,1,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M053",3,691.05,1,1,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M053",4,0,0,1,"Corte","Auxiliar","A",0.581,"Correctivo",NA
"M054",1,0,0,1,"Lijado","Importante","B",0.637,"Preventivo",120
"M054",2,0,0,1,"Lijado","Importante","B",0.637,"Preventivo",120
"M054",3,1020.08,1,1,"Lijado","Importante","B",0.637,"Preventivo",120
"M054",4,1551.32,2,1,"Lijado","Importante","B",0.637,"Preventivo",120
"M055",1,0,0,1,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M055",2,967.04,1,1,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M055",3,0,0,1,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M055",4,759.03,1,1,"Mecanizado","Importante","C",0.59,"Preventivo",120
"M056",1,0,0,1,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M056",2,1188.38,1,1,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M056",3,505.59,1,1,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M056",4,740.61,1,1,"Mecanizado","Importante","A",0.337,"Preventivo",90
"M057",1,1737.44,1,1,"Lijado","Importante","B",0.84,"Correctivo",NA
"M057",2,0,0,1,"Lijado","Importante","B",0.84,"Correctivo",NA
"M057",3,848.17,1,1,"Lijado","Importante","B",0.84,"Correctivo",NA
"M057",4,0,0,1,"Lijado","Importante","B",0.84,"Correctivo",NA
"M058",1,0,0,0.195,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M058",2,203.02,1,1,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M058",3,199.59,1,1,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M058",4,0,0,1,"Corte","Auxiliar","A",0.724,"Correctivo",NA
"M059",1,1667.62,1,1,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",2,0,0,1,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",3,0,0,1,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M059",4,10610.44,3,1,"Mecanizado","Importante","B",0.893,"Preventivo",120
"M060",3,361,1,0.671,"Corte","Importante","A",0.603,"Correctivo",NA
"M060",4,0,0,1,"Corte","Importante","A",0.603,"Correctivo",NA
"M061",1,1441.41,2,1,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",2,980.41,1,1,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",3,3133.84,3,1,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M061",4,4880.88,2,1,"Mecanizado","Auxiliar","B",0.687,"Correctivo",NA
"M062",1,0,0,1,"Ensamblaje","Importante","B",0.495,"Preventivo",60
"M062",2,0,0,1,"Ensamblaje","Importante","B",0.495,"Preventivo",60
"M062",3,0,0,1,"Ensamblaje","Importante","B",0.495,"Preventivo",60
"M062",4,0,0,1,"Ensamblaje","Importante","B",0.495,"Preventivo",60
"M063",1,0,0,1,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",2,969.15,3,1,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",3,676.91,1,1,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M063",4,354.53,1,1,"Mecanizado","Auxiliar","A",0.735,"Preventivo",120
"M064",1,0,0,1,"Lijado","Critica","C",0.729,"Preventivo",120
"M064",2,0,0,1,"Lijado","Critica","C",0.729,"Preventivo",120
"M064",3,628.08,1,1,"Lijado","Critica","C",0.729,"Preventivo",120
"M064",4,0,0,1,"Lijado","Critica","C",0.729,"Preventivo",120
"M065",1,774.95,1,1,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M065",2,0,0,1,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M065",3,0,0,1,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M065",4,286.1,1,1,"Mecanizado","Importante","B",0.615,"Preventivo",90
"M066",1,789.83,1,1,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M066",2,0,0,1,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M066",3,0,0,1,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M066",4,161.02,1,1,"Mecanizado","Auxiliar","B",0.484,"Correctivo",NA
"M067",1,716.45,1,1,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M067",2,804.58,1,1,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M067",3,0,0,1,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M067",4,396.72,1,1,"Ensamblaje","Auxiliar","A",0.774,"Correctivo",NA
"M068",1,0,0,1,"Mecanizado","Importante","A",0.54,"Preventivo",60
"M068",2,0,0,1,"Mecanizado","Importante","A",0.54,"Preventivo",60
"M068",3,0,0,1,"Mecanizado","Importante","A",0.54,"Preventivo",60
"M068",4,561.5,1,1,"Mecanizado","Importante","A",0.54,"Preventivo",60
"M069",1,0,0,1,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",2,774.72,2,1,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",3,1093.83,2,1,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M069",4,807.54,2,1,"Acabado","Auxiliar","B",0.811,"Preventivo",90
"M070",1,3673.34,2,1,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",2,2329.8,1,1,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",3,2371.64,1,1,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M070",4,9314.77,5,1,"Mecanizado","Auxiliar","A",0.515,"Preventivo",120
"M071",1,5054.47,4,1,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",2,0,0,1,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",3,3478.73,2,1,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M071",4,3811.55,4,1,"Mecanizado","Auxiliar","C",0.882,"Correctivo",NA
"M072",1,2545.2,2,1,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",2,902.16,1,1,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",3,689.2,1,1,"Corte","Importante","A",0.344,"Correctivo",NA
"M072",4,2896.15,2,1,"Corte","Importante","A",0.344,"Correctivo",NA
"M073",2,0,0,0.866,"Acabado","Critica","C",0.704,"Preventivo",90
"M073",3,0,0,1,"Acabado","Critica","C",0.704,"Preventivo",90
"M073",4,4442.1,1,1,"Acabado","Critica","C",0.704,"Preventivo",90
"M074",2,0,0,0.422,"Mecanizado","Auxiliar","B",0.364,"Correctivo",NA
"M074",3,399.76,1,1,"Mecanizado","Auxiliar","B",0.364,"Correctivo",NA
"M074",4,0,0,1,"Mecanizado","Auxiliar","B",0.364,"Correctivo",NA
"M075",1,4471.71,2,1,"Corte","Critica","B",0.748,"Preventivo",120
"M075",2,0,0,1,"Corte","Critica","B",0.748,"Preventivo",120
"M075",3,1398.31,1,1,"Corte","Critica","B",0.748,"Preventivo",120
"M075",4,3772.73,2,1,"Corte","Critica","B",0.748,"Preventivo",120
"M076",1,0,0,1,"Acabado","Auxiliar","A",0.771,"Preventivo",60
"M076",2,973.38,1,1,"Acabado","Auxiliar","A",0.771,"Preventivo",60
"M076",3,254.58,1,1,"Acabado","Auxiliar","A",0.771,"Preventivo",60
"M076",4,0,0,1,"Acabado","Auxiliar","A",0.771,"Preventivo",60
"M077",1,0,0,0.6,"Acabado","Auxiliar","B",0.608,"Preventivo",90
"M077",2,620.09,1,1,"Acabado","Auxiliar","B",0.608,"Preventivo",90
"M077",3,0,0,1,"Acabado","Auxiliar","B",0.608,"Preventivo",90
"M077",4,0,0,1,"Acabado","Auxiliar","B",0.608,"Preventivo",90
"M078",1,0,0,1,"Corte","Auxiliar","B",0.662,"Correctivo",NA
"M078",2,0,0,1,"Corte","Auxiliar","B",0.662,"Correctivo",NA
"M078",3,0,0,1,"Corte","Auxiliar","B",0.662,"Correctivo",NA
"M078",4,561.56,1,1,"Corte","Auxiliar","B",0.662,"Correctivo",NA
"M079",1,0,0,1,"Acabado","Auxiliar","B",0.75,"Preventivo",90
"M079",2,0,0,1,"Acabado","Auxiliar","B",0.75,"Preventivo",90
"M079",3,0,0,1,"Acabado","Auxiliar","B",0.75,"Preventivo",90
"M079",4,0,0,1,"Acabado","Auxiliar","B",0.75,"Preventivo",90
"M080",1,0,0,1,"Lijado","Importante","A",0.707,"Preventivo",60
"M080",2,1162.81,1,1,"Lijado","Importante","A",0.707,"Preventivo",60
"M080",3,0,0,1,"Lijado","Importante","A",0.707,"Preventivo",60
"M080",4,0,0,1,"Lijado","Importante","A",0.707,"Preventivo",60
"M081",1,0,0,0.649,"Acabado","Auxiliar","B",0.65,"Correctivo",NA
"M081",2,0,0,1,"Acabado","Auxiliar","B",0.65,"Correctivo",NA
"M081",3,0,0,1,"Acabado","Auxiliar","B",0.65,"Correctivo",NA
"M081",4,289.65,1,1,"Acabado","Auxiliar","B",0.65,"Correctivo",NA
"M082",1,734.02,1,1,"Mecanizado","Importante","A",0.732,"Correctivo",NA
"M082",2,352.79,1,1,"Mecanizado","Importante","A",0.732,"Correctivo",NA
"M082",3,3715.8,3,1,"Mecanizado","Importante","A",0.732,"Correctivo",NA
"M082",4,0,0,1,"Mecanizado","Importante","A",0.732,"Correctivo",NA
"M083",3,1042.29,2,0.956,"Lijado","Importante","A",0.52,"Correctivo",NA
"M083",4,0,0,1,"Lijado","Importante","A",0.52,"Correctivo",NA
"M084",1,2060.44,1,1,"Acabado","Importante","C",0.811,"Preventivo",90
"M084",2,3987.6,2,1,"Acabado","Importante","C",0.811,"Preventivo",90
"M084",3,2401.66,2,1,"Acabado","Importante","C",0.811,"Preventivo",90
"M084",4,5376.22,3,1,"Acabado","Importante","C",0.811,"Preventivo",90
"M085",1,0,0,0.501,"Acabado","Auxiliar","A",0.674,"Preventivo",60
"M085",2,0,0,1,"Acabado","Auxiliar","A",0.674,"Preventivo",60
"M085",3,0,0,1,"Acabado","Auxiliar","A",0.674,"Preventivo",60
"M085",4,0,0,1,"Acabado","Auxiliar","A",0.674,"Preventivo",60
"M086",3,0,0,0.721,"Lijado","Importante","B",0.63,"Preventivo",60
"M086",4,0,0,1,"Lijado","Importante","B",0.63,"Preventivo",60
"M087",1,390.89,1,1,"Acabado","Importante","B",0.663,"Correctivo",NA
"M087",2,0,0,1,"Acabado","Importante","B",0.663,"Correctivo",NA
"M087",3,0,0,1,"Acabado","Importante","B",0.663,"Correctivo",NA
"M087",4,938.7,2,1,"Acabado","Importante","B",0.663,"Correctivo",NA
"M088",1,0,0,0.523,"Lijado","Importante","A",0.385,"Preventivo",60
"M088",2,0,0,1,"Lijado","Importante","A",0.385,"Preventivo",60
"M088",3,0,0,1,"Lijado","Importante","A",0.385,"Preventivo",60
"M088",4,508.23,1,1,"Lijado","Importante","A",0.385,"Preventivo",60
"M089",1,0,0,1,"Mecanizado","Importante","B",0.711,"Correctivo",NA
"M089",2,864.23,1,1,"Mecanizado","Importante","B",0.711,"Correctivo",NA
"M089",3,1038.07,2,1,"Mecanizado","Importante","B",0.711,"Correctivo",NA
"M089",4,739.75,1,1,"Mecanizado","Importante","B",0.711,"Correctivo",NA
"M090",1,0,0,0.836,"Lijado","Auxiliar","A",0.569,"Correctivo",NA
"M090",2,1770.94,2,1,"Lijado","Auxiliar","A",0.569,"Correctivo",NA
"M090",3,574.07,1,1,"Lijado","Auxiliar","A",0.569,"Correctivo",NA
"M090",4,984.51,1,1,"Lijado","Auxiliar","A",0.569,"Correctivo",NA
