"id_maquina","dia","fecha","n_orden","antiguedad_anios","tiempo_desde_anterior","tipo_averia","dias_desde_mant","turno","tiempo_parada","coste_euros","id_averia","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M012",259.083027799148,2021-09-17,1,4,259.08,"Electrica",NA,"Noche",0.17,1471.08,"A00033","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",447.136765837902,2022-03-24,2,4.515,188.05,"Mecanica",NA,"Mañana",0.31,895.2,"A00034","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",530.228950334247,2022-06-15,3,4.743,83.09,"Mecanica",NA,"Tarde",0.14,990.17,"A00035","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",987.876047056634,2023-09-15,4,5.997,457.65,"Electronica",NA,"Noche",0.43,2659.31,"A00036","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",996.400999278529,2023-09-24,5,6.02,8.52,"Hidraulica",NA,"Tarde",0.14,2105.6,"A00037","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",1111.32014110428,2024-01-17,6,6.335,114.92,"Mecanica",NA,"Noche",0.45,1469.21,"A00038","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",1127.1678378405,2024-02-02,7,6.379,15.85,"Electrica",NA,"Mañana",0.82,1104.63,"A00039","Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M014",71.3835923240986,2021-03-13,1,7.798,71.38,"Electrica",56,"Tarde",0.81,1032.62,"A00040","Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",313.612485782942,2021-11-10,2,8.462,242.23,"Electrica",28,"Mañana",0.43,338.82,"A00041","Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",770.569712030003,2023-02-10,3,9.714,456.96,"Mecanica",35,"Mañana",0.03,456.47,"A00042","Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",923.714732816443,2023-07-13,4,10.133,153.15,"Electrica",8,"Mañana",0.81,591.31,"A00043","Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M016",815.07501367759,2023-03-27,1,0.989,361.08,"Mecanica",NA,"Mañana",1.07,936.02,"A00044","Acabado","Importante","C",0.609,"Correctivo",NA
"M016",925.900531354127,2023-07-15,2,1.293,110.83,"Hidraulica",NA,"Mañana",3.7,739.23,"A00045","Acabado","Importante","C",0.609,"Correctivo",NA
"M016",1202.02988406643,2024-04-17,3,2.049,276.13,"Electrica",NA,"Noche",2.8,631.96,"A00046","Acabado","Importante","C",0.609,"Correctivo",NA
"M016",1233.85949413991,2024-05-18,4,2.137,31.83,"Electronica",NA,"Noche",4.93,1924.75,"A00047","Acabado","Importante","C",0.609,"Correctivo",NA
"M017",296.576918222709,2021-10-24,1,8.73,296.58,"Electronica",NA,"Tarde",3.21,1232.02,"A00048","Lijado","Importante","A",0.931,"Correctivo",NA
"M017",991.081779747037,2023-09-19,2,10.633,694.5,"Electrica",NA,"Tarde",3.34,523.89,"A00049","Lijado","Importante","A",0.931,"Correctivo",NA
"M017",1017.10030045966,2023-10-15,3,10.704,26.02,"Electrica",NA,"Mañana",3.02,539.25,"A00050","Lijado","Importante","A",0.931,"Correctivo",NA
"M017",1354.01527266554,2024-09-16,4,11.627,336.91,"Electronica",NA,"Tarde",7.96,533.08,"A00051","Lijado","Importante","A",0.931,"Correctivo",NA
"M018",98.8555899681523,2021-04-09,1,4.443,98.86,"Electrica",NA,"Mañana",1.05,238.22,"A00052","Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",181.541869936278,2021-07-01,2,4.67,82.69,"Electrica",NA,"Noche",0.97,424.17,"A00053","Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",634.859350894112,2022-09-27,3,5.912,453.32,"Mecanica",NA,"Tarde",0.14,467.99,"A00054","Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",1009.50623101019,2023-10-07,4,6.938,374.65,"Electronica",NA,"Tarde",0.17,1079.59,"A00055","Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",1310.36888145027,2024-08-03,5,7.763,300.86,"Mecanica",NA,"Mañana",0.42,1271.22,"A00056","Corte","Auxiliar","A",0.51,"Correctivo",NA
"M019",1432.26167226117,2024-12-03,1,8.976,1432.26,"Hidraulica",36,"Mañana",2.16,275.82,"A00057","Lijado","Importante","C",0.921,"Preventivo",60
"M020",1059.82087581838,2023-11-26,1,0.882,321.82,"Mecanica",NA,"Mañana",17.08,1347.94,"A00058","Lijado","Critica","A",0.686,"Correctivo",NA
"M020",1206.27757878066,2024-04-21,2,1.283,146.46,"Electronica",NA,"Noche",7.74,461.59,"A00059","Lijado","Critica","A",0.686,"Correctivo",NA
"M021",1276.68307543406,2024-06-30,1,7.344,1276.68,"Electronica",NA,"Noche",4.19,482.73,"A00060","Corte","Importante","B",0.676,"Correctivo",NA
"M022",1179.53095233231,2024-03-25,1,1.799,656.53,"Hidraulica",NA,"Noche",0.27,654.12,"A00061","Acabado","Auxiliar","A",0.613,"Correctivo",NA
"M023",1135.30561157688,2024-02-10,1,8.047,1135.31,"Electronica",57,"Noche",9.58,920.47,"A00062","Mecanizado","Critica","C",0.559,"Preventivo",120
"M024",431.968777902424,2022-03-08,1,5.819,431.97,"Electronica",53,"Tarde",2.49,2573.94,"A00063","Corte","Critica","B",0.538,"Preventivo",90
"M024",1416.53647367307,2024-11-17,2,8.517,984.57,"Electrica",48,"Noche",5.47,1222.15,"A00064","Corte","Critica","B",0.538,"Preventivo",90
"M025",14.7527749743313,2021-01-15,1,1.547,14.75,"Electrica",NA,"Tarde",0.94,959.23,"A00065","Corte","Importante","B",0.746,"Correctivo",NA
"M025",37.7371637809556,2021-02-07,2,1.61,22.98,"Electronica",NA,"Tarde",5.3,2205.6,"A00066","Corte","Importante","B",0.746,"Correctivo",NA
"M025",79.9134226776659,2021-03-21,3,1.726,42.18,"Electrica",NA,"Tarde",1.11,1128.1,"A00067","Corte","Importante","B",0.746,"Correctivo",NA
"M025",720.787921797018,2022-12-22,4,3.482,640.87,"Electrica",NA,"Tarde",2.57,737.1,"A00068","Corte","Importante","B",0.746,"Correctivo",NA
"M025",991.463011508575,2023-09-19,5,4.223,270.68,"Mecanica",NA,"Noche",0.51,1200.42,"A00069","Corte","Importante","B",0.746,"Correctivo",NA
"M025",1353.72018399369,2024-09-15,6,5.216,362.26,"Electronica",NA,"Noche",2.11,684.25,"A00070","Corte","Importante","B",0.746,"Correctivo",NA
"M026",1451.47761927824,2024-12-22,1,8.007,1451.48,"Electronica",42,"Mañana",4.96,889.87,"A00071","Corte","Importante","C",0.575,"Preventivo",60
"M027",47.9537213544827,2021-02-17,1,2.805,47.95,"Hidraulica",NA,"Noche",4.23,2144.31,"A00072","Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",181.846858933568,2021-07-01,2,3.172,133.89,"Electrica",NA,"Tarde",8.67,984.56,"A00073","Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",185.614762822632,2021-07-05,3,3.183,3.77,"Electronica",NA,"Tarde",14.65,2309.24,"A00074","Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",947.802252623485,2023-08-06,4,5.271,762.19,"Electrica",NA,"Noche",9.4,2641.1,"A00075","Mecanizado","Critica","A",0.665,"Correctivo",NA
"M027",1293.53925224068,2024-07-17,5,6.218,345.74,"Mecanica",NA,"Mañana",13.66,1935.52,"A00076","Mecanizado","Critica","A",0.665,"Correctivo",NA
"M028",371.859866047977,2022-01-07,1,6.101,371.86,"Hidraulica",NA,"Noche",0.22,603.99,"A00077","Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",459.085131157422,2022-04-05,2,6.34,87.23,"Electronica",NA,"Mañana",1.28,1006.94,"A00078","Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",917.198449222837,2023-07-07,3,7.595,458.11,"Mecanica",NA,"Tarde",0.21,859.29,"A00079","Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",928.146352966549,2023-07-18,4,7.625,10.95,"Hidraulica",NA,"Noche",0.27,975.77,"A00080","Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",1189.04275228083,2024-04-04,5,8.34,260.9,"Mecanica",NA,"Mañana",0.19,529.65,"A00081","Corte","Auxiliar","A",0.57,"Correctivo",NA
"M028",1320.48635192076,2024-08-13,6,8.7,131.44,"Electrica",NA,"Noche",0.16,1096.33,"A00082","Corte","Auxiliar","A",0.57,"Correctivo",NA
"M029",475.219233761076,2022-04-21,1,9.223,475.22,"Electronica",36,"Mañana",4.35,657.54,"A00083","Ensamblaje","Importante","C",0.482,"Preventivo",90
"M030",946.284032083116,2023-08-05,1,10.494,946.28,"Electronica",50,"Tarde",0.3,1470.92,"A00084","Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",966.529459281359,2023-08-25,2,10.549,20.25,"Electrica",10,"Noche",0.26,1551.06,"A00085","Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",1307.87430986017,2024-07-31,3,11.485,341.34,"Hidraulica",51,"Tarde",0.26,2740.97,"A00086","Corte","Auxiliar","A",0.771,"Preventivo",60
"M030",1373.92613600846,2024-10-05,4,11.666,66.05,"Hidraulica",57,"Tarde",0.96,2218.16,"A00087","Corte","Auxiliar","A",0.771,"Preventivo",60
"M031",693.441245505586,2022-11-25,1,9.514,693.44,"Mecanica",52,"Tarde",0.49,643.27,"A00088","Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",867.403837557184,2023-05-18,2,9.99,173.96,"Mecanica",46,"Tarde",0.75,484.39,"A00089","Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",1168.05552950408,2024-03-14,3,10.814,300.65,"Electrica",77,"Mañana",0.26,331.09,"A00090","Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",1208.73049528664,2024-04-23,4,10.925,40.67,"Electrica",27,"Mañana",0.2,895.13,"A00091","Acabado","Auxiliar","C",0.533,"Preventivo",90
"M031",1237.87189576402,2024-05-22,5,11.005,29.14,"Electrica",56,"Noche",1.19,926.85,"A00092","Acabado","Auxiliar","C",0.533,"Preventivo",90
"M032",288.832702663029,2021-10-16,1,5.375,288.83,"Electronica",41,"Tarde",0.13,1508.87,"A00093","Ensamblaje","Auxiliar","B",0.63,"Preventivo",60
"M033",31.9666536608711,2021-02-01,1,4.562,31.97,"Hidraulica",NA,"Mañana",19.94,1508.91,"A00094","Acabado","Critica","B",0.763,"Correctivo",NA
"M034",173.717751519987,2021-06-23,1,6.298,173.72,"Hidraulica",NA,"Tarde",0.26,369.8,"A00095","Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",881.625315457117,2023-06-01,2,8.237,707.91,"Electronica",NA,"Mañana",0.27,945.85,"A00096","Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",1030.67044840846,2023-10-28,3,8.646,149.05,"Electronica",NA,"Noche",0.49,883.74,"A00097","Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",1171.03780783876,2024-03-17,4,9.03,140.37,"Hidraulica",NA,"Mañana",0.95,735.83,"A00098","Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M034",1320.68526599184,2024-08-13,5,9.44,149.65,"Electronica",NA,"Mañana",0.37,941.07,"A00099","Mecanizado","Auxiliar","C",0.736,"Correctivo",NA
"M035",771.510706659406,2023-02-11,1,7.84,771.51,"Electrica",NA,"Noche",0.41,478.48,"A00100","Ensamblaje","Auxiliar","A",0.518,"Correctivo",NA
"M036",1013.07661881484,2023-10-11,1,3.537,1013.08,"Electronica",NA,"Mañana",2.41,1687.87,"A00101","Acabado","Importante","B",0.708,"Correctivo",NA
"M038",99.4577832168434,2021-04-10,1,2.815,99.46,"Electronica",NA,"Noche",1.03,1743.44,"A00102","Acabado","Importante","A",0.24,"Correctivo",NA
"M038",298.2711846889,2021-10-26,2,3.36,198.81,"Electrica",NA,"Noche",5.52,898.94,"A00103","Acabado","Importante","A",0.24,"Correctivo",NA
"M038",500.810614217073,2022-05-16,3,3.915,202.54,"Hidraulica",NA,"Tarde",1.5,885.92,"A00104","Acabado","Importante","A",0.24,"Correctivo",NA
"M038",1074.42386305472,2023-12-11,4,5.486,573.61,"Hidraulica",NA,"Noche",5.12,997.15,"A00105","Acabado","Importante","A",0.24,"Correctivo",NA
"M038",1172.59767077491,2024-03-18,5,5.755,98.17,"Electronica",NA,"Tarde",3.4,2806.22,"A00106","Acabado","Importante","A",0.24,"Correctivo",NA
"M038",1203.5696488726,2024-04-18,6,5.84,30.97,"Electrica",NA,"Noche",3.89,415.82,"A00107","Acabado","Importante","A",0.24,"Correctivo",NA
"M039",498.232604854973,2022-05-14,1,6.118,498.23,"Electrica",NA,"Noche",0.2,427.84,"A00108","Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",836.745565683814,2023-04-17,2,7.046,338.51,"Mecanica",NA,"Tarde",0.86,990.66,"A00109","Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",985.91218142258,2023-09-13,3,7.455,149.17,"Electronica",NA,"Mañana",0.59,796.69,"A00110","Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M039",995.560618005926,2023-09-23,4,7.481,9.65,"Hidraulica",NA,"Tarde",0.74,1004.39,"A00111","Ensamblaje","Auxiliar","A",0.253,"Correctivo",NA
"M040",36.5962909408845,2021-02-06,1,8.045,36.6,"Mecanica",56,"Noche",0.09,500.76,"A00112","Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",955.14793350012,2023-08-14,2,10.562,918.55,"Electronica",75,"Mañana",0.08,1072,"A00113","Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M040",1334.3122125126,2024-08-27,3,11.601,379.16,"Hidraulica",4,"Tarde",0.29,1113.77,"A00114","Mecanizado","Auxiliar","C",0.69,"Preventivo",90
"M041",614.738918387098,2022-09-07,1,4.484,614.74,"Electrica",16,"Noche",0.13,739.32,"A00115","Acabado","Auxiliar","C",0.328,"Preventivo",90
"M042",100.610646094661,2021-04-11,1,4.122,100.61,"Hidraulica",NA,"Noche",0.31,524.86,"A00116","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",125.791042669443,2021-05-06,2,4.191,25.18,"Hidraulica",NA,"Noche",0.19,1153.77,"A00117","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",339.780514031183,2021-12-06,3,4.777,213.99,"Electronica",NA,"Mañana",1.39,874.4,"A00118","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",670.261829328956,2022-11-02,4,5.683,330.48,"Mecanica",NA,"Tarde",0.2,494.76,"A00119","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",1047.97363089258,2023-11-14,5,6.718,377.71,"Hidraulica",NA,"Mañana",0.95,488.01,"A00120","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",1141.08409210714,2024-02-16,6,6.973,93.11,"Hidraulica",NA,"Tarde",0.51,332.46,"A00121","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",1170.10019860743,2024-03-16,7,7.052,29.02,"Electrica",NA,"Noche",0.85,451.13,"A00122","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M042",1178.70435637911,2024-03-24,8,7.076,8.6,"Mecanica",NA,"Noche",0.55,185.87,"A00123","Ensamblaje","Auxiliar","B",0.889,"Correctivo",NA
"M043",791.491927892435,2023-03-03,1,0.081,29.49,"Hidraulica",29,"Mañana",0.29,1349.29,"A00124","Lijado","Auxiliar","B",0.87,"Preventivo",90
"M043",1183.05412382795,2024-03-29,2,1.154,391.56,"Mecanica",61,"Mañana",0.15,995,"A00125","Lijado","Auxiliar","B",0.87,"Preventivo",90
"M044",359.717693044338,2021-12-26,1,3.314,359.72,"Electrica",NA,"Mañana",47.68,1595.13,"A00126","Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",469.416339735966,2022-04-15,2,3.615,109.7,"Electronica",NA,"Mañana",3.01,2018.86,"A00127","Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",549.474413424032,2022-07-04,3,3.834,80.06,"Mecanica",NA,"Noche",2.88,2146.08,"A00128","Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",923.272902645171,2023-07-13,4,4.858,373.8,"Mecanica",NA,"Tarde",7.23,3700.36,"A00129","Mecanizado","Critica","A",0.873,"Correctivo",NA
"M044",1428.04755299771,2024-11-29,5,6.241,504.77,"Electronica",NA,"Tarde",9.67,1672.31,"A00130","Mecanizado","Critica","A",0.873,"Correctivo",NA
"M045",410.573717816733,2022-02-15,1,7.813,410.57,"Hidraulica",NA,"Tarde",0.62,1447,"A00131","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",659.070040566148,2022-10-22,2,8.493,248.5,"Electronica",NA,"Mañana",0.29,2174.91,"A00132","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",862.745946208946,2023-05-13,3,9.051,203.68,"Hidraulica",NA,"Tarde",0.17,1271.85,"A00133","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",863.592624383047,2023-05-14,4,9.054,0.85,"Electrica",NA,"Noche",0.49,1192.76,"A00134","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",893.520700081484,2023-06-13,5,9.136,29.93,"Electronica",NA,"Noche",1.17,2738.56,"A00135","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",1057.0910133142,2023-11-24,6,9.584,163.57,"Mecanica",NA,"Mañana",0.99,463.69,"A00136","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",1104.96723966952,2024-01-10,7,9.715,47.88,"Hidraulica",NA,"Mañana",0.59,4130.85,"A00137","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",1268.87206178182,2024-06-22,8,10.164,163.9,"Electrica",NA,"Noche",0.17,1276.5,"A00138","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",1305.52552638249,2024-07-29,9,10.264,36.65,"Mecanica",NA,"Mañana",1.16,1989.92,"A00139","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M045",1403.42989603686,2024-11-04,10,10.533,97.9,"Electrica",NA,"Noche",0.75,1099.16,"A00140","Ensamblaje","Auxiliar","A",0.734,"Correctivo",NA
"M046",509.048707094742,2022-05-25,1,4.737,509.05,"Mecanica",49,"Noche",1.5,889.05,"A00141","Mecanizado","Critica","A",0.656,"Preventivo",60
"M047",350.832670527278,2021-12-17,1,4.178,350.83,"Electrica",NA,"Noche",21.52,1335.01,"A00142","Lijado","Critica","B",0.689,"Correctivo",NA
"M047",675.798232443864,2022-11-07,2,5.068,324.97,"Hidraulica",NA,"Mañana",19.23,1019.6,"A00143","Lijado","Critica","B",0.689,"Correctivo",NA
"M048",180.119349670829,2021-06-30,1,2.436,180.12,"Electronica",NA,"Mañana",0.16,1518.22,"A00144","Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",384.658863813849,2022-01-20,2,2.996,204.54,"Mecanica",NA,"Noche",0.33,1566,"A00145","Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",409.913397774566,2022-02-14,3,3.066,25.25,"Electrica",NA,"Noche",0.33,792.79,"A00146","Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",1186.40080595948,2024-04-01,4,5.193,776.49,"Mecanica",NA,"Noche",0.16,392.86,"A00147","Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",1341.32910479838,2024-09-03,5,5.617,154.93,"Electrica",NA,"Noche",0.5,491.99,"A00148","Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M048",1348.47650405043,2024-09-10,6,5.637,7.15,"Electronica",NA,"Mañana",0.61,494.38,"A00149","Ensamblaje","Auxiliar","A",0.779,"Correctivo",NA
"M049",59.2455952770542,2021-03-01,1,7.56,59.25,"Electronica",119,"Tarde",3.96,991.99,"A00150","Acabado","Importante","B",0.82,"Preventivo",120
"M049",383.645688092336,2022-01-19,2,8.448,324.4,"Electronica",83,"Noche",0.8,2452.81,"A00151","Acabado","Importante","B",0.82,"Preventivo",120
"M049",384.576386443572,2022-01-20,3,8.451,0.93,"Hidraulica",84,"Noche",5.08,1323.98,"A00152","Acabado","Importante","B",0.82,"Preventivo",120
"M049",493.853531941772,2022-05-09,4,8.75,109.28,"Electrica",73,"Tarde",1.21,681.48,"A00153","Acabado","Importante","B",0.82,"Preventivo",120
"M049",551.633175314637,2022-07-06,5,8.909,57.78,"Electronica",11,"Noche",2.83,1013.08,"A00154","Acabado","Importante","B",0.82,"Preventivo",120
"M049",1250.63736722199,2024-06-04,6,10.824,699,"Mecanica",110,"Noche",3.69,1083.34,"A00155","Acabado","Importante","B",0.82,"Preventivo",120
"M049",1440.73986657965,2024-12-11,7,11.344,190.1,"Electrica",60,"Noche",3.35,1355.06,"A00156","Acabado","Importante","B",0.82,"Preventivo",120
"M050",1037.48920598021,2023-11-04,1,2.311,843.49,"Mecanica",NA,"Tarde",0.32,808,"A00157","Mecanizado","Auxiliar","B",0.834,"Correctivo",NA
"M052",633.417974546086,2022-09-26,1,0.429,156.42,"Mecanica",NA,"Mañana",3.48,514.37,"A00158","Lijado","Importante","C",0.827,"Correctivo",NA
"M052",951.793078674003,2023-08-10,2,1.301,318.38,"Mecanica",NA,"Noche",9.13,418.45,"A00159","Lijado","Importante","C",0.827,"Correctivo",NA
"M052",1249.23924595211,2024-06-03,3,2.116,297.45,"Hidraulica",NA,"Tarde",4.03,496.15,"A00160","Lijado","Importante","C",0.827,"Correctivo",NA
"M053",624.842243629741,2022-09-17,1,8.063,624.84,"Electrica",NA,"Noche",1.53,389.52,"A00161","Corte","Auxiliar","A",0.581,"Correctivo",NA
"M053",757.534897823585,2023-01-28,2,8.426,132.69,"Electronica",NA,"Tarde",0.42,691.05,"A00162","Corte","Auxiliar","A",0.581,"Correctivo",NA
"M054",1092.24673785502,2023-12-29,1,10.691,1092.25,"Hidraulica",62,"Noche",3.49,1020.08,"A00163","Lijado","Importante","B",0.637,"Preventivo",120
