"id_poliza","k","t_k","coste_k","anio"
83,1,1.2269,2804.21,2
84,1,0.8813,2315.87,1
86,1,0.6495,374.35,1
88,1,1.6969,3792.08,2
88,2,2.8115,3345.92,3
97,1,0.1019,3583.8,1
98,1,0.3401,3272.97,1
98,2,1.0525,2768.39,2
103,1,0.8485,141.52,1
105,1,1.9199,1690.47,2
105,2,1.9953,970.9,2
105,3,3.3571,1864.1,4
105,4,3.4569,1395.46,4
105,5,4.1165,1679.94,5
105,6,5.2946,7025.95,6
105,7,6.5907,2146.49,7
106,1,0.6689,3372.19,1
109,1,3.3379,1413.35,4
115,1,3.7637,479.12,4
115,2,4.6162,382.47,5
115,3,5.729,1763.8,6
120,1,1.898,1622.52,2
122,1,4.246,3309.13,5
125,1,1.1443,4261.32,2
126,1,0.6624,3276.34,1
126,2,4.5078,553.74,5
127,1,0.6528,2083.67,1
130,1,3.1853,1094.78,4
130,2,5.0735,1894.56,6
131,1,1.394,7425.7,2
131,2,2.9371,5438.01,3
131,3,4.5118,1458.16,5
133,1,0.5107,3286.25,1
133,2,1.7519,2876.38,2
133,3,2.5058,3302.7,3
134,1,0.3995,1409.26,1
138,1,1.9281,2431.31,2
138,2,3.9089,2799.8,4
138,3,4.264,3741.41,5
144,1,0.846,627.27,1
149,1,1.5372,1976.91,2
151,1,7.7794,2512.24,8
157,1,2.6951,1580.95,3
161,1,1.3815,3904.25,2
161,2,2.1846,1081.41,3
161,3,3.3317,1696.41,4
161,4,5.1423,2020.46,6
165,1,0.1605,2099.54,1
165,2,2.2607,1162.94,3
165,3,2.8441,881.05,3
170,1,2.2109,996.35,3
171,1,4.5154,4786.61,5
172,1,0.9151,3174.48,1
172,2,1.6863,532.54,2
172,3,2.0534,5150.67,3
172,4,3.8576,2042.31,4
172,5,4.5578,614.06,5
172,6,4.6416,4059.21,5
172,7,5.0426,2259.14,6
172,8,6.1338,2904.64,7
176,1,0.8107,8489.81,1
176,2,6.601,1578.42,7
177,1,2.0746,1493.27,3
177,2,3.4735,368.23,4
178,1,3.9059,2689.59,4
178,2,4.1798,2548.67,5
180,1,3.2189,4996.39,4
180,2,3.8183,3123.47,4
180,3,4.1947,4494.89,5
180,4,4.6182,2522.05,5
180,5,4.9253,2028.92,5
182,1,2.4488,3898.31,3
184,1,3.3635,791.45,4
185,1,2.8639,671.96,3
187,1,1.2495,7520.06,2
188,1,4.7276,856.04,5
188,2,7.4372,2152.87,8
192,1,1.8937,2083.01,2
195,1,0.361,1510.96,1
195,2,3.3409,742.48,4
195,3,5.151,1072.83,6
203,1,4.54,1914.6,5
208,1,3.0551,1091.47,4
208,2,4.6019,1796.02,5
210,1,5.1659,3920.36,6
211,1,4.3896,4119.11,5
213,1,4.7626,1528.46,5
213,2,5.9305,1832.47,6
215,1,2.7486,1245.25,3
215,2,3.2588,4808.67,4
215,3,6.587,5636.82,7
216,1,3.3935,7071.43,4
226,1,3.5548,2502.45,4
231,1,2.1276,1613.83,3
235,1,1.3435,789.33,2
236,1,3.5035,1059.1,4
236,2,4.2022,4043.37,5
239,1,1.7297,1434.14,2
245,1,3.2883,3785.65,4
246,1,1.039,2536.8,2
246,2,2.8779,6536.89,3
246,3,3.714,2918.95,4
246,4,5.2832,617.68,6
250,1,0.6616,1178.23,1
252,1,1.0367,4109.08,2
252,2,1.7704,2037.58,2
252,3,2.5053,3108.41,3
252,4,3.4895,1319.43,4
252,5,5.4811,1251.53,6
252,6,6.5862,2662.09,7
252,7,6.9885,2431.3,7
252,8,7.2844,3183.6,8
253,1,1.7533,3241.51,2
254,1,3.8673,645.09,4
260,1,4.242,2123.21,5
260,2,4.9967,5174.17,5
260,3,6.2092,1049.8,7
260,4,6.3589,2852.05,7
266,1,2.1801,3719.66,3
266,2,2.4039,894.48,3
268,1,0.0312,4058.55,1
270,1,5.1163,2338.13,6
271,1,1.8122,2396.54,2
272,1,3.6257,3470.71,4
272,2,4.0008,3490.93,5
280,1,1.7344,75.17,2
280,2,4.0319,2788.92,5
285,1,2.4853,2892.08,3
285,2,2.9912,2461.65,3
285,3,3.1838,949.48,4
285,4,3.9876,1145.93,4
289,1,1.2122,1219.19,2
290,1,3.7233,5997.61,4
291,1,1.2497,430.06,2
291,2,6.0897,2844.36,7
293,1,1.0067,888.06,2
293,2,4.3936,1941.85,5
293,3,8.7866,918.07,9
294,1,3.9899,373.59,4
294,2,6.2101,1701.32,7
294,3,8.85,1675.48,9
294,4,8.9493,3860.74,9
299,1,1.875,1344.91,2
299,2,1.9843,3335.72,2
299,3,6.5596,2314.77,7
299,4,7.4986,2164.58,8
299,5,8.0474,4739.64,9
299,6,9.0036,4121.19,10
301,1,1.7503,1624.5,2
305,1,0.2804,284.44,1
305,2,0.3734,1568.73,1
305,3,2.1062,1962.23,3
308,1,0.1967,5122.67,1
309,1,1.5878,5904.55,2
309,2,1.872,9044.25,2
309,3,2.2621,3009.09,3
309,4,3.1489,6060.6,4
313,1,3.0878,1779.85,4
318,1,1.8267,2486.05,2
324,1,6.2109,4503.16,7
324,2,6.8727,1281.3,7
325,1,1.5065,498.02,2
327,1,3.9302,2115.04,4
332,1,1.2924,860.17,2
332,2,1.5489,1118.1,2
332,3,3.322,890.27,4
332,4,3.5341,1757.39,4
332,5,5.5349,409.15,6
333,1,0.1645,2004.53,1
334,1,1.6421,1564.77,2
334,2,1.981,3330.14,2
338,1,3.9992,3661.71,4
339,1,2.9862,1826.49,3
346,1,3.6423,4361.08,4
346,2,4.298,3144.91,5
346,3,5.7446,2681.13,6
348,1,0.0926,2326.32,1
353,1,2.8542,1826.9,3
353,2,3.1308,337.15,4
353,3,3.1494,612.05,4
353,4,5.1636,1487.24,6
353,5,5.3382,1783.52,6
353,6,6.1324,2390.71,7
353,7,7.194,2931.26,8
356,1,0.1034,888.32,1
356,2,5.9117,2759.95,6
357,1,3.3066,2155.52,4
358,1,4.2212,8020.63,5
358,2,6.9703,6133.48,7
362,1,1.341,6274.17,2
362,2,2.5458,137.53,3
362,3,6.0964,3865.37,7
366,1,0.6567,1314.97,1
367,1,1.0463,3737.86,2
371,1,1.8235,1524,2
371,2,2.3802,5007.13,3
371,3,3.4582,7120.48,4
377,1,1.5375,2742.83,2
379,1,6.1032,7369.4,7
380,1,2.6971,2356.49,3
381,1,1.3379,5760.6,2
381,2,2.2669,2242.89,3
381,3,2.7201,2920.38,3
381,4,2.9244,1764.14,3
381,5,3.3435,1189,4
382,1,1.2768,2369.28,2
383,1,3.9897,333.01,4
384,1,0.8852,1736.34,1
384,2,2.1991,2514.38,3
384,3,6.1182,5796.26,7
384,4,6.2342,5926.7,7
385,1,0.2973,1831.6,1
385,2,2.2009,6871.26,3
386,1,2.5362,841.06,3
390,1,3.7557,10620.69,4
393,1,0.922,1632.97,1
397,1,0.9043,10506.64,1
401,1,3.5391,1745.91,4
404,1,1.3239,820.96,2
405,1,3.119,911.11,4
408,1,1.8588,492.69,2
410,1,3.1149,4528.67,4
411,1,2.7258,1191.6,3
412,1,2.4443,1736.18,3
416,1,2.4825,490.19,3
418,1,6.5723,530.64,7
419,1,0.1666,2549.76,1
420,1,3.6907,721.61,4
422,1,3.2862,2394.4,4
422,2,5.2623,1915.64,6
427,1,6.7141,2414.57,7
428,1,7.0476,7143.44,8
433,1,0.2955,2579.54,1
433,2,2.9,623.41,3
434,1,3.5443,919.04,4
438,1,0.2222,5318.32,1
443,1,0.3934,13764.53,1
444,1,5.2099,1770.56,6
444,2,5.7236,2586.27,6
446,1,2.5466,2456.91,3
450,1,1.6571,2702.96,2
453,1,2.8477,3716.85,3
453,2,2.9738,691.89,3
454,1,3.6099,2616.63,4
457,1,2.1111,1691.42,3
457,2,6.547,1717.27,7
461,1,5.4872,2015.09,6
465,1,2.7196,1824.54,3
465,2,3.9229,3733.87,4
467,1,0.3785,279.25,1
470,1,3.5276,496.33,4
471,1,8.9762,1618.7,9
473,1,7.8778,3044.28,8
473,2,8.3909,3052.76,9
473,3,8.6923,79.01,9
477,1,1.9582,1880.33,2
477,2,3.7885,3686.24,4
477,3,7.4608,10201.94,8
480,1,0.8758,1091.98,1
480,2,1.3805,4260.66,2
481,1,2.0871,1269.79,3
481,2,3.5395,1371.2,4
482,1,4.3408,1125.39,5
484,1,2.6187,1638.47,3
484,2,2.7883,1473.22,3
484,3,3.6004,436.87,4
484,4,4.2049,1162.79,5
484,5,5.1704,903.96,6
485,1,1.8875,7398.62,2
486,1,1.8933,1556.88,2
487,1,7.9161,4617.22,8
490,1,4.377,1424.61,5
492,1,2.3086,5045.19,3
494,1,0.8884,2067.64,1
496,1,3.1037,905.85,4
498,1,0.8455,1407.17,1
498,2,1.3645,4755.67,2
498,3,4.1894,6086.21,5
498,4,5.4244,5068.55,6
500,1,1.7136,1216.22,2
500,2,5.9176,1008.78,6
500,3,8.4238,1636.43,9
500,4,8.545,280.41,9
500,5,9.2408,1163.61,10
501,1,1.0272,4474.03,2
505,1,2.6513,581.94,3
509,1,3.8969,3360.43,4
509,2,5.3588,4045.25,6
511,1,0.6979,453.32,1
511,2,1.2262,857.38,2
511,3,4.1526,751.36,5
513,1,2.36,4758.94,3
517,1,0.4508,2169.93,1
519,1,1.1457,437.95,2
520,1,3.4072,1190.72,4
523,1,0.3279,2680.57,1
527,1,1.2304,4732.25,2
528,1,2.5755,1392,3
528,2,4.0173,2991.49,5
528,3,5.1365,1969.69,6
528,4,5.6861,2327.87,6
528,5,6.8911,1661.03,7
533,1,1.7676,5323.79,2
533,2,3.9542,1539.2,4
536,1,1.7221,4545.48,2
537,1,2.8083,1391.13,3
537,2,4.4484,410.73,5
537,3,5.7827,737.29,6
540,1,1.4288,3092.56,2
543,1,0.7888,869.13,1
543,2,2.4914,1609.97,3
543,3,4.7141,799.32,5
543,4,5.0998,2151.94,6
547,1,1.8266,1091.07,2
547,2,2.4622,1978.33,3
551,1,1.2228,868.84,2
551,2,4.4096,1779.58,5
552,1,1.3193,1002.68,2
552,2,4.2681,3989.19,5
552,3,5.3037,1930.37,6
553,1,0.8113,747.63,1
554,1,1.658,1648.75,2
554,2,4.8827,781.67,5
564,1,2.3068,2551.84,3
564,2,6.3748,1443.27,7
564,3,7.1724,1907.02,8
564,4,8.2136,2660.66,9
566,1,3.2706,7734.03,4
568,1,4.1227,3655.73,5
568,2,5.7308,2768.11,6
572,1,2.4918,2112.35,3
572,2,3.2658,341.43,4
575,1,1.5437,1817.29,2
577,1,2.2009,3940.31,3
579,1,0.0907,414.13,1
579,2,0.6426,2725.16,1
579,3,1.2003,769.44,2
581,1,0.5366,2043.32,1
583,1,3.1501,1106.03,4
583,2,6.0946,768.22,7
583,3,6.3362,1396.09,7
586,1,3.9771,471,4
591,1,1.0875,4257.85,2
592,1,0.7884,2615.76,1
592,2,0.9649,585.36,1
592,3,1.4888,1127.27,2
592,4,1.8255,1159.5,2
592,5,4.2077,4836.86,5
592,6,4.3458,4109.81,5
597,1,1.8319,4381.85,2
598,1,3.411,443.34,4
600,1,0.8748,3225.74,1
600,2,0.9822,3989.28,1
608,1,7.6443,10314.7,8
609,1,2.1236,1240.05,3
618,1,4.3264,3369.02,5
619,1,1.3892,868.06,2
619,2,1.5365,1364.64,2
619,3,3.7643,3335.3,4
619,4,4.7656,1949.69,5
623,1,0.3524,1290.25,1
624,1,3.5848,3305.95,4
624,2,4.8865,10493.84,5
627,1,5.9374,2607.31,6
629,1,1.6739,1228.07,2
634,1,0.4033,2296.84,1
635,1,4.0567,1188.26,5
635,2,6.2984,1312.52,7
635,3,8.2157,560.61,9
638,1,2.1412,6196.71,3
639,1,0.9604,574.06,1
639,2,5.0101,717.57,6
642,1,0.8822,5036.94,1
642,2,2.7613,845.43,3
642,3,2.7975,921.97,3
643,1,1.0059,533.13,2
643,2,2.4731,3068.11,3
643,3,3.3423,496.24,4
643,4,3.4625,1714.33,4
643,5,4.0724,881.8,5
648,1,1.8017,1797.18,2
648,2,2.5569,1857.48,3
648,3,3.4696,2261.32,4
650,1,1.5556,3616.25,2
650,2,2.5598,1879.66,3
651,1,0.2035,1826.51,1
652,1,2.0246,2645.64,3
658,1,1.5207,1411.4,2
660,1,0.1281,3951.99,1
665,1,2.8329,2554.65,3
668,1,1.6017,2258.19,2
671,1,4.5759,720.72,5
676,1,1.5171,2209.59,2
679,1,1.9595,4390.33,2
679,2,3.4541,6274.68,4
682,1,5.4082,7201.09,6
686,1,2.4066,1939.44,3
686,2,2.7102,991.77,3
698,1,1.5119,2290.54,2
698,2,1.9452,598.74,2
698,3,2.0596,1916.01,3
700,1,0.3996,2835.56,1
701,1,4.0125,1369.3,5
702,1,2.6525,3664.01,3
703,1,1.6947,8066.99,2
705,1,3.6215,792.67,4
706,1,0.4325,1272.04,1
706,2,0.6059,340.94,1
706,3,2.5455,453.32,3
706,4,5.3011,4846.16,6
708,1,1.3325,3716.92,2
715,1,2.7968,603.36,3
719,1,4.7449,1252.15,5
723,1,2.8658,1807.56,3
723,2,3.9771,3908.21,4
723,3,4.8199,3818.24,5
723,4,5.5814,6192.84,6
729,1,4.1923,1377.22,5
729,2,5.6074,1849.14,6
731,1,0.8035,1899.18,1
731,2,1.5609,2490.93,2
731,3,1.5857,2129.82,2
733,1,0.1678,930.64,1
739,1,3.3819,5583.63,4
741,1,1.5489,3914.58,2
746,1,1.7731,1551.57,2
746,2,2.804,4695.97,3
747,1,5.0651,1102.6,6
747,2,6.4405,2143.71,7
755,1,7.2817,972.49,8
760,1,0.7132,556.22,1
760,2,0.8946,2783.34,1
764,1,0.9768,9351.09,1
764,2,1.5887,1274.61,2
766,1,1.2079,6306.01,2
766,2,4.4627,1939.13,5
767,1,1.312,3438.08,2
770,1,2.5686,1592.35,3
778,1,0.0207,902.49,1
778,2,0.346,877.61,1
781,1,1.1064,3800.33,2
781,2,6.1269,4163.42,7
781,3,8.6882,822.49,9
783,1,1.8054,3441.04,2
783,2,2.2786,1110.96,3
783,3,5.6987,835.43,6
783,4,7.7785,2779.85,8
783,5,7.9746,4219.25,8
784,1,4.0417,931.99,5
784,2,7.7183,1920,8
786,1,5.4814,1965.1,6
792,1,2.5878,1166.72,3
792,2,7.8991,3820.5,8
795,1,1.0354,4236.06,2
795,2,3.5775,972.84,4
795,3,3.8258,2928.83,4
795,4,7.7686,5482.67,8
797,1,1.7655,6156.05,2
798,1,1.2006,1575.94,2
798,2,3.9367,5890.87,4
800,1,2.8389,1129.91,3
802,1,0.6625,1962.08,1
802,2,0.7604,2849.82,1
802,3,2.1029,2435.71,3
802,4,2.9375,9647.86,3
805,1,0.8758,565.84,1
805,2,2.4291,3037.73,3
805,3,2.6032,2820.49,3
805,4,3.7905,6164.48,4
809,1,3.125,4541.03,4
810,1,0.6489,2449.91,1
810,2,2.8676,750.04,3
810,3,3.396,5182.6,4
810,4,3.9561,5109.61,4
810,5,4.0811,582.52,5
810,6,4.8479,2139.7,5
810,7,5.1532,423.95,6
815,1,0.6906,3809.04,1
815,2,4.6168,496.04,5
823,1,4.9078,808.02,5
827,1,3.345,58.87,4
827,2,4.3153,2330.69,5
827,3,5.5457,1917.51,6
829,1,0.6695,1829.57,1
829,2,2.1995,2860.1,3
829,3,2.4538,2138.25,3
829,4,3.3221,3033.33,4
830,1,3.9459,632.14,4
836,1,0.3376,207.1,1
836,2,3.8703,527.68,4
837,1,5.8643,2679.96,6
838,1,2.5303,3853.22,3
844,1,1.7869,4250.45,2
844,2,1.7923,5886.11,2
844,3,3.3647,539.58,4
844,4,4.5939,5798.07,5
844,5,4.9438,3965.02,5
848,1,0.2816,7884.04,1
852,1,8.6537,5283.94,9
854,1,0.4092,817.72,1
858,1,0.5955,1012.13,1
858,2,2.3326,701.96,3
864,1,1.7408,2291.07,2
868,1,0.5939,6620.54,1
871,1,1.3205,2363.47,2
871,2,3.9397,3478.24,4
872,1,1.2453,798.99,2
872,2,4.5877,770.87,5
873,1,5.2745,3329.24,6
873,2,5.4355,1098.65,6
873,3,8.0027,1449.29,9
877,1,2.0804,968.91,3
880,1,0.7268,1186.65,1
882,1,2.3053,182.2,3
886,1,1.213,521.43,2
889,1,6.4454,641.43,7
889,2,6.5237,428.5,7
893,1,5.1606,3745.61,6
894,1,1.8975,2985.42,2
894,2,2.6365,3609.26,3
897,1,0.101,5168.03,1
898,1,1.0963,3906.75,2
899,1,4.001,5482.67,5
900,1,3.4812,1368.98,4
901,1,2.6318,7935.79,3
912,1,7.925,1671.27,8
918,1,1.5705,2312.89,2
918,2,1.6684,1482.28,2
918,3,3.0358,2832.99,4
920,1,3.2584,3913.21,4
921,1,0.627,4947.72,1
926,1,2.5128,308.94,3
926,2,4.2132,774.57,5
926,3,4.8176,5296.34,5
926,4,8.1276,1014.38,9
934,1,2.426,5247.72,3
934,2,4.4119,640.36,5
934,3,6.5086,4410.69,7
937,1,0.7281,3914.63,1
937,2,1.4809,1717.34,2
937,3,2.5507,612.47,3
937,4,2.7251,1055.72,3
939,1,2.0565,1092.33,3
939,2,2.8386,1554.96,3
939,3,3.1685,690.92,4
939,4,3.6059,2453.8,4
939,5,4.1061,3058.76,5
946,1,2.1206,1850.14,3
946,2,4.3588,2139.84,5
947,1,0.9866,2079.72,1
947,2,1.9222,499.95,2
947,3,3.3897,3229.88,4
947,4,7.3845,778.29,8
947,5,8.1364,6321.03,9
948,1,1.4642,1265.22,2
948,2,4.0229,536.31,5
948,3,5.4463,3197.93,6
952,1,3.7531,2957.15,4
954,1,2.3245,3597.32,3
954,2,3.7744,1090.04,4
958,1,0.3332,3292.43,1
959,1,0.1633,1041.45,1
959,2,1.7396,1018.47,2
959,3,2.5331,1692.23,3
962,1,2.5104,3112.24,3
962,2,5.1847,6186.09,6
964,1,0.5764,4385.24,1
964,2,1.651,7807.65,2
964,3,3.5514,5017.43,4
964,4,4.9133,1469.74,5
964,5,4.9989,612.13,5
964,6,5.5595,486.61,6
964,7,6.554,6802.78,7
964,8,6.6409,25813.92,7
964,9,7.145,2309.13,8
964,10,7.3304,5534.18,8
964,11,7.6381,4056.63,8
967,1,0.0806,1922.48,1
968,1,0.6331,8536.43,1
969,1,0.1495,1977.96,1
969,2,0.4184,4246.93,1
969,3,2.2458,2902.7,3
972,1,3.7817,3233.57,4
978,1,2.7169,9292.25,3
978,2,5.0382,2663.6,6
978,3,5.6485,1195.65,6
979,1,6.5239,5035.18,7
981,1,1.0101,3529.72,2
981,2,4.5096,3369.5,5
982,1,6.4061,382.21,7
983,1,0.2401,4627.35,1
984,1,1.9892,1855.89,2
989,1,4.3761,2082.05,5
990,1,0.1919,1059.31,1
992,1,5.9351,1765.07,6
997,1,4.9975,2352.81,5
998,1,0.267,3571.9,1
998,2,3.0071,2988.37,4
998,3,5.0183,542.09,6
999,1,1.0355,4858.62,2
999,2,1.6916,2672.47,2
999,3,2.9723,2318.47,3
1000,1,2.9102,416.28,3
1003,1,6.963,2223.93,7
1005,1,6.5353,945.58,7
1007,1,1.1425,511.19,2
1008,1,3.44,1828.73,4
1008,2,5.422,1990.26,6
1009,1,1.6863,1492.71,2
1011,1,1.1911,748.82,2
1011,2,4.2455,2031.87,5
1011,3,5.2672,2491.82,6
1014,1,0.0222,2512.5,1
1021,1,2.3125,5424.72,3
1024,1,0.1304,2059.3,1
1025,1,3.6886,1237.83,4
1027,1,3.9485,544.28,4
1029,1,1.0327,684.68,2
1029,2,2.6376,1005.61,3
1032,1,0.4252,4854.72,1
1033,1,2.6107,4171.01,3
1035,1,4.3243,4640.98,5
1036,1,6.3242,1562.79,7
1038,1,1.6952,5481.9,2
1038,2,2.536,6486.24,3
1040,1,3.6874,2329.47,4
1040,2,5.1798,2989.13,6
1040,3,6.3674,1349.71,7
1041,1,1.7008,349.71,2
1049,1,1.7861,937.85,2
1054,1,5.4371,1065.72,6
1054,2,5.4962,1139.83,6
1055,1,1.572,2022.64,2
1055,2,2.9781,6257.22,3
1055,3,3.1315,6081.24,4
1055,4,4.5045,1594.12,5
1056,1,3.9739,1841.54,4
1057,1,1.4657,1513.08,2
1067,1,5.6632,3041.42,6
1068,1,3.4055,1608.8,4
1070,1,2.5014,5543.52,3
1072,1,0.1337,5251.7,1
1072,2,8.8922,3153.45,9
1077,1,1.3219,3003.81,2
1079,1,2.0666,1716.85,3
1079,2,3.9412,2368.02,4
1082,1,0.3642,1230.17,1
1082,2,1.3257,2851.41,2
1082,3,1.5063,2498.6,2
1084,1,3.1652,649.92,4
1086,1,2.2951,3472.11,3
1088,1,0.2189,5767.43,1
1095,1,0.0773,3695.33,1
1096,1,7.1293,3277.61,8
1096,2,7.9073,2360.97,8
1099,1,1.5629,4248.16,2
1101,1,1.8104,879.44,2
1102,1,2.3459,3252.98,3
1105,1,1.1651,2587.95,2
1105,2,5.5623,2691.52,6
1112,1,5.8857,2121.11,6
1115,1,4.6282,1053.77,5
1120,1,1.0047,1390.7,2
1120,2,1.8868,751.31,2
1123,1,1.7043,1234.36,2
1123,2,3.0193,3608.91,4
1126,1,1.85,1399.64,2
1127,1,1.6192,3090.63,2
1131,1,3.2658,1846.97,4
1134,1,0.3578,2644.83,1
1134,2,2.7163,203.32,3
1135,1,0.7087,3115.7,1
1138,1,0.8839,1183.3,1
1140,1,5.0967,3092.14,6
1141,1,2.6201,948.15,3
1143,1,0.2082,2338.82,1
1143,2,1.7466,719.49,2
1143,3,2.2881,960.39,3
1144,1,1.6207,2402.42,2
1146,1,0.7211,3981.5,1
1147,1,0.3211,2077.48,1
1150,1,7.3433,2655.83,8
1152,1,5.6228,442.05,6
1155,1,2.5837,1467.04,3
1158,1,2.1192,1623.15,3
1160,1,6.4485,1202.09,7
1169,1,0.6304,1443.51,1
1170,1,0.6055,3073,1
1170,2,0.9668,785.15,1
1170,3,3.5463,541.16,4
1170,4,4.327,1283.06,5
1171,1,2.9566,245.67,3
1172,1,0.4535,522.67,1
1172,2,0.7665,589.95,1
1172,3,5.089,1707.07,6
1172,4,5.1192,1244.2,6
1174,1,1.8348,5487.35,2
1175,1,7.8517,923.14,8
1176,1,1.8527,1817.99,2
1177,1,1.277,3695.54,2
1180,1,2.6906,2509.8,3
1184,1,3.866,2096.05,4
1184,2,4.2825,1485.44,5
1184,3,4.573,2404.89,5
1185,1,1.5448,1223.6,2
1186,1,1.077,858.92,2
1189,1,1.827,1696.3,2
1190,1,1.6994,1575.8,2
1194,1,1.6626,3486.05,2
1194,2,3.7116,1394.97,4
1194,3,5.9678,3010.8,6
1198,1,2.699,2922.97,3
1200,1,2.1897,1270.55,3
1200,2,2.8435,761.9,3
1201,1,1.6239,843.9,2
1203,1,2.001,6280.35,3
1205,1,0.607,1776.28,1
1205,2,1.8415,431.61,2
1205,3,2.0887,2721.24,3
1205,4,3.3787,807.06,4
1205,5,3.553,1995.94,4
1205,6,4.9219,465.81,5
1205,7,8.5837,289.76,9
1213,1,1.6379,597.48,2
1216,1,0.1696,1655.75,1
1218,1,0.2952,554.05,1
1218,2,1.7763,8335.37,2
1218,3,2.4311,913.84,3
1220,1,4.4338,846.89,5
1222,1,2.3679,2326.44,3
1222,2,3.1478,3648.31,4
1222,3,3.8636,1087.25,4
1222,4,4.3391,4101.93,5
1227,1,6.1456,1038.14,7
1227,2,9.5117,4194.15,10
1228,1,4.9959,2488.3,5
1229,1,4.8946,4281.44,5
1230,1,1.8836,5858.06,2
1234,1,2.1659,586.98,3
1235,1,1.374,1942.55,2
1237,1,1.9283,1513.59,2
1237,2,4.4979,1146.98,5
1240,1,3.4865,2145.68,4
1241,1,0.6832,1499.2,1
1241,2,1.3866,3281.39,2
1241,3,4.2897,1192.54,5
1245,1,4.809,176.03,5
1245,2,6.0391,1459.99,7
1245,3,9.2305,1603.82,10
1246,1,3.3247,615.43,4
1247,1,0.1892,2294.27,1
1247,2,2.6551,4141.79,3
1249,1,2.4797,777.05,3
1249,2,5.4649,3340.17,6
1253,1,1.4422,1390.92,2
1253,2,4.4054,1657.07,5
1255,1,0.4746,1262.11,1
1255,2,3.254,571.51,4
1258,1,4.8844,3984.39,5
1258,2,5.1212,405.82,6
1258,3,5.8793,1477.68,6
1258,4,6.1521,853.18,7
1259,1,7.6505,7996.37,8
1267,1,2.2313,4510.87,3
1267,2,2.9161,573.73,3
1267,3,4.0656,661.55,5
1267,4,4.193,1125.21,5
1267,5,4.201,1239.38,5
1272,1,1.8507,378.62,2
1284,1,3.0022,3343.99,4
1284,2,3.0552,1141.66,4
1284,3,6.2466,1657.37,7
1286,1,0.9813,4072.67,1
1286,2,2.1007,413.45,3
1286,3,4.2561,1253.59,5
1287,1,4.0184,3017.4,5
1289,1,1.2865,4576.25,2
1289,2,1.3714,1317.66,2
1290,1,1.8435,1620.86,2
1291,1,1.518,879.52,2
1291,2,2.824,1754,3
1294,1,2.8872,2278.33,3
1296,1,0.5454,1440.56,1
1299,1,1.1874,4166.25,2
1303,1,3.1522,1391.57,4
1306,1,2.6851,1393.35,3
1306,2,7.8473,1774.28,8
1307,1,2.4564,7000.83,3
1308,1,4.3082,2793.32,5
1308,2,4.5721,4829.3,5
1309,1,1.5053,598.26,2
1313,1,0.41,5278.47,1
1314,1,1.4755,437.83,2
1314,2,3.4552,2627.36,4
1314,3,4.2746,671.74,5
1319,1,4.7171,2398.77,5
1328,1,1.753,5957.19,2
