"id_poliza","anio","tstart","tstop","expo_anual","n_partes_anual","edad_t","antig_veh_t","en_riesgo"
21,3,2,3,1,0,57,19,1
21,4,3,3.17,0.17,0,58,20,1
22,1,0,1,1,0,32,12,1
22,2,1,2,1,0,33,13,1
22,3,2,2.483,0.483,0,34,14,1
23,1,0,1,1,0,24,5,1
23,2,1,2,1,0,25,6,1
23,3,2,3,1,1,26,7,1
23,4,3,3.513,0.513,0,27,8,1
24,1,0,1,1,0,59,20,1
24,2,1,2,1,0,60,21,1
24,3,2,3,1,0,61,22,1
24,4,3,4,1,0,62,23,1
24,5,4,5,1,0,63,24,1
24,6,5,5.597,0.597,1,64,25,1
25,1,0,1,1,0,38,0,1
25,2,1,2,1,1,39,1,1
25,3,2,3,1,0,40,2,1
25,4,3,3.719,0.719,0,41,3,1
26,1,0,1,1,0,39,10,1
26,2,1,2,1,1,40,11,1
26,3,2,3,1,0,41,12,1
26,4,3,3.019,0.019,0,42,13,1
27,1,0,0.747,0.747,1,47,13,1
28,1,0,1,1,0,62,4,1
28,2,1,1.413,0.413,0,63,5,1
29,1,0,1,1,0,24,21,1
29,2,1,2,1,0,25,22,1
29,3,2,3,1,0,26,23,1
29,4,3,4,1,0,27,24,1
29,5,4,4.914,0.914,0,28,25,1
30,1,0,1,1,1,57,2,1
30,2,1,2,1,1,58,3,1
30,3,2,2.173,0.173,0,59,4,1
31,1,0,1,1,0,53,5,1
31,2,1,2,1,0,54,6,1
31,3,2,3,1,0,55,7,1
31,4,3,4,1,0,56,8,1
31,5,4,4.803,0.803,0,57,9,1
32,1,0,1,1,0,51,11,1
32,2,1,2,1,0,52,12,1
32,3,2,3,1,0,53,13,1
32,4,3,3.869,0.869,0,54,14,1
33,1,0,1,1,0,56,10,1
33,2,1,2,1,0,57,11,1
33,3,2,3,1,0,58,12,1
33,4,3,4,1,0,59,13,1
33,5,4,4.552,0.552,0,60,14,1
34,1,0,0.539,0.539,0,41,6,1
35,1,0,1,1,0,23,17,1
35,2,1,2,1,0,24,18,1
35,3,2,3,1,0,25,19,1
35,4,3,3.765,0.765,0,26,20,1
36,1,0,1,1,1,20,13,1
36,2,1,2,1,0,21,14,1
36,3,2,2.666,0.666,0,22,15,1
37,1,0,1,1,0,46,6,1
37,2,1,2,1,1,47,7,1
37,3,2,3,1,0,48,8,1
37,4,3,4,1,0,49,9,1
37,5,4,4.192,0.192,0,50,10,1
38,1,0,1,1,0,45,18,1
38,2,1,2,1,0,46,19,1
38,3,2,3,1,0,47,20,1
38,4,3,4,1,0,48,21,1
38,5,4,5,1,0,49,22,1
38,6,5,6,1,0,50,23,1
38,7,6,7,1,0,51,24,1
38,8,7,7.233,0.233,0,52,25,1
39,1,0,1,1,0,64,4,1
39,2,1,2,1,0,65,5,1
39,3,2,3,1,0,66,6,1
39,4,3,4,1,0,67,7,1
39,5,4,5,1,0,68,8,1
39,6,5,6,1,0,69,9,1
39,7,6,7,1,0,70,10,1
39,8,7,8,1,0,71,11,1
39,9,8,8.262,0.262,0,72,12,1
40,1,0,1,1,0,57,5,1
40,2,1,2,1,0,58,6,1
40,3,2,3,1,0,59,7,1
40,4,3,4,1,0,60,8,1
40,5,4,5,1,0,61,9,1
40,6,5,6,1,0,62,10,1
40,7,6,6.09,0.09,0,63,11,1
41,1,0,1,1,0,62,4,1
41,2,1,2,1,0,63,5,1
41,3,2,3,1,0,64,6,1
41,4,3,4,1,0,65,7,1
41,5,4,5,1,0,66,8,1
41,6,5,6,1,0,67,9,1
41,7,6,6.385,0.385,0,68,10,1
42,1,0,1,1,0,41,17,1
42,2,1,2,1,2,42,18,1
42,3,2,2.058,0.058,0,43,19,1
43,1,0,1,1,0,50,7,1
43,2,1,1.022,0.022,0,51,8,1
44,1,0,1,1,0,48,5,1
44,2,1,2,1,0,49,6,1
44,3,2,3,1,0,50,7,1
44,4,3,4,1,0,51,8,1
44,5,4,5,1,0,52,9,1
44,6,5,6,1,0,53,10,1
44,7,6,7,1,0,54,11,1
44,8,7,7.627,0.627,0,55,12,1
45,1,0,1,1,0,52,0,1
45,2,1,2,1,0,53,1,1
45,3,2,3,1,0,54,2,1
45,4,3,4,1,0,55,3,1
45,5,4,4.185,0.185,0,56,4,1
46,1,0,1,1,0,42,4,1
46,2,1,1.445,0.445,1,43,5,1
47,1,0,1,1,0,74,1,1
47,2,1,1.347,0.347,0,75,2,1
48,1,0,1,1,1,54,12,1
48,2,1,2,1,0,55,13,1
48,3,2,3,1,0,56,14,1
48,4,3,4,1,0,57,15,1
48,5,4,5,1,0,58,16,1
48,6,5,6,1,0,59,17,1
48,7,6,7,1,0,60,18,1
48,8,7,7.534,0.534,0,61,19,1
49,1,0,1,1,0,50,12,1
49,2,1,2,1,0,51,13,1
49,3,2,2.088,0.088,0,52,14,1
50,1,0,1,1,0,32,14,1
50,2,1,1.692,0.692,0,33,15,1
51,1,0,0.499,0.499,0,60,13,1
52,1,0,1,1,0,43,12,1
52,2,1,2,1,0,44,13,1
52,3,2,3,1,0,45,14,1
52,4,3,4,1,0,46,15,1
52,5,4,5,1,0,47,16,1
52,6,5,6,1,0,48,17,1
52,7,6,6.815,0.815,0,49,18,1
53,1,0,1,1,1,52,7,1
53,2,1,2,1,0,53,8,1
53,3,2,3,1,0,54,9,1
53,4,3,4,1,0,55,10,1
53,5,4,5,1,0,56,11,1
53,6,5,5.135,0.135,0,57,12,1
54,1,0,1,1,0,58,7,1
54,2,1,1.23,0.23,0,59,8,1
55,1,0,1,1,0,51,9,1
55,2,1,1.152,0.152,0,52,10,1
56,1,0,0.262,0.262,0,51,4,1
57,1,0,1,1,0,44,7,1
57,2,1,2,1,0,45,8,1
57,3,2,2.727,0.727,0,46,9,1
58,1,0,1,1,1,33,13,1
58,2,1,2,1,0,34,14,1
58,3,2,2.529,0.529,0,35,15,1
59,1,0,1,1,0,18,7,1
59,2,1,1.5,0.5,1,19,8,1
60,1,0,1,1,0,39,6,1
60,2,1,2,1,0,40,7,1
60,3,2,3,1,0,41,8,1
60,4,3,3.226,0.226,0,42,9,1
61,1,0,1,1,0,33,4,1
61,2,1,1.91,0.91,0,34,5,1
62,1,0,0.673,0.673,0,46,5,1
63,1,0,1,1,0,46,8,1
63,2,1,2,1,0,47,9,1
63,3,2,3,1,0,48,10,1
63,4,3,4,1,0,49,11,1
63,5,4,5,1,0,50,12,1
63,6,5,6,1,0,51,13,1
63,7,6,7,1,0,52,14,1
63,8,7,8,1,0,53,15,1
63,9,8,9,1,0,54,16,1
63,10,9,9.373,0.373,0,55,17,1
64,1,0,1,1,1,18,11,1
64,2,1,1.762,0.762,0,19,12,1
65,1,0,1,1,0,70,0,1
65,2,1,1.962,0.962,1,71,1,1
66,1,0,1,1,0,65,11,1
66,2,1,2,1,0,66,12,1
66,3,2,2.944,0.944,1,67,13,1
67,1,0,1,1,0,62,8,1
67,2,1,2,1,0,63,9,1
67,3,2,3,1,0,64,10,1
67,4,3,4,1,0,65,11,1
67,5,4,5,1,0,66,12,1
67,6,5,6,1,0,67,13,1
67,7,6,7,1,0,68,14,1
67,8,7,8,1,0,69,15,1
67,9,8,8.105,0.105,0,70,16,1
68,1,0,1,1,0,28,12,1
68,2,1,2,1,0,29,13,1
68,3,2,3,1,0,30,14,1
68,4,3,4,1,0,31,15,1
68,5,4,5,1,1,32,16,1
68,6,5,6,1,0,33,17,1
68,7,6,6.206,0.206,0,34,18,1
69,1,0,1,1,0,29,6,1
69,2,1,2,1,0,30,7,1
69,3,2,2.799,0.799,2,31,8,1
70,1,0,1,1,0,42,6,1
70,2,1,1.016,0.016,0,43,7,1
71,1,0,1,1,0,36,3,1
71,2,1,2,1,0,37,4,1
71,3,2,2.917,0.917,0,38,5,1
72,1,0,1,1,0,42,11,1
72,2,1,2,1,0,43,12,1
72,3,2,3,1,0,44,13,1
72,4,3,4,1,0,45,14,1
72,5,4,4.225,0.225,0,46,15,1
73,1,0,1,1,0,48,0,1
73,2,1,2,1,0,49,1,1
73,3,2,3,1,0,50,2,1
73,4,3,3.367,0.367,0,51,3,1
74,1,0,1,1,0,38,6,1
74,2,1,1.45,0.45,0,39,7,1
75,1,0,1,1,0,53,0,1
75,2,1,2,1,0,54,1,1
75,3,2,3,1,0,55,2,1
75,4,3,4,1,0,56,3,1
75,5,4,4.535,0.535,0,57,4,1
76,1,0,1,1,0,32,8,1
76,2,1,2,1,0,33,9,1
76,3,2,3,1,0,34,10,1
76,4,3,4,1,0,35,11,1
76,5,4,5,1,0,36,12,1
76,6,5,6,1,0,37,13,1
76,7,6,7,1,0,38,14,1
76,8,7,7.69,0.69,0,39,15,1
77,1,0,1,1,0,52,1,1
77,2,1,2,1,0,53,2,1
77,3,2,2.418,0.418,0,54,3,1
78,1,0,1,1,0,49,14,1
78,2,1,2,1,0,50,15,1
78,3,2,3,1,1,51,16,1
78,4,3,3.222,0.222,0,52,17,1
79,1,0,1,1,0,46,5,1
79,2,1,2,1,0,47,6,1
79,3,2,3,1,0,48,7,1
79,4,3,4,1,0,49,8,1
79,5,4,5,1,0,50,9,1
79,6,5,5.942,0.942,0,51,10,1
80,1,0,1,1,0,44,4,1
80,2,1,2,1,0,45,5,1
80,3,2,3,1,0,46,6,1
80,4,3,4,1,0,47,7,1
80,5,4,5,1,0,48,8,1
80,6,5,6,1,1,49,9,1
80,7,6,7,1,0,50,10,1
80,8,7,8,1,0,51,11,1
80,9,8,8.804,0.804,0,52,12,1
81,1,0,1,1,0,43,11,1
81,2,1,2,1,0,44,12,1
81,3,2,3,1,0,45,13,1
81,4,3,4,1,1,46,14,1
81,5,4,5,1,0,47,15,1
81,6,5,5.312,0.312,0,48,16,1
82,1,0,1,1,0,46,11,1
82,2,1,2,1,0,47,12,1
82,3,2,3,1,0,48,13,1
82,4,3,3.528,0.528,0,49,14,1
83,1,0,1,1,0,47,1,1
83,2,1,2,1,0,48,2,1
83,3,2,2.206,0.206,0,49,3,1
84,1,0,1,1,1,18,13,1
84,2,1,2,1,0,19,14,1
84,3,2,3,1,0,20,15,1
84,4,3,3.17,0.17,0,21,16,1
85,1,0,1,1,0,45,9,1
85,2,1,2,1,0,46,10,1
85,3,2,2.764,0.764,0,47,11,1
86,1,0,1,1,0,37,18,1
86,2,1,2,1,0,38,19,1
86,3,2,3,1,0,39,20,1
86,4,3,4,1,0,40,21,1
86,5,4,5,1,0,41,22,1
86,6,5,5.477,0.477,0,42,23,1
87,1,0,1,1,0,49,19,1
87,2,1,2,1,0,50,20,1
87,3,2,3,1,0,51,21,1
87,4,3,4,1,0,52,22,1
87,5,4,5,1,0,53,23,1
87,6,5,5.132,0.132,0,54,24,1
88,1,0,1,1,0,62,13,1
88,2,1,2,1,0,63,14,1
88,3,2,3,1,0,64,15,1
88,4,3,4,1,0,65,16,1
88,5,4,5,1,0,66,17,1
88,6,5,6,1,0,67,18,1
88,7,6,7,1,0,68,19,1
88,8,7,7.224,0.224,0,69,20,1
89,1,0,1,1,0,46,4,1
89,2,1,2,1,0,47,5,1
89,3,2,3,1,1,48,6,1
89,4,3,3.033,0.033,0,49,7,1
90,1,0,1,1,1,74,0,1
90,2,1,2,1,0,75,1,1
90,3,2,3,1,0,76,2,1
90,4,3,3.272,0.272,0,77,3,1
91,1,0,1,1,0,58,0,1
91,2,1,1.176,0.176,0,59,1,1
92,1,0,1,1,0,30,4,1
92,2,1,2,1,0,31,5,1
92,3,2,3,1,0,32,6,1
92,4,3,4,1,1,33,7,1
92,5,4,5,1,0,34,8,1
92,6,5,6,1,0,35,9,1
92,7,6,6.578,0.578,1,36,10,1
93,1,0,1,1,1,36,4,1
93,2,1,2,1,0,37,5,1
93,3,2,3,1,0,38,6,1
93,4,3,4,1,0,39,7,1
93,5,4,4.779,0.779,0,40,8,1
94,1,0,1,1,0,46,13,1
94,2,1,2,1,0,47,14,1
94,3,2,3,1,2,48,15,1
94,4,3,4,1,1,49,16,1
94,5,4,4.37,0.37,0,50,17,1
95,1,0,1,1,0,56,20,1
95,2,1,2,1,0,57,21,1
95,3,2,3,1,0,58,22,1
95,4,3,4,1,0,59,23,1
95,5,4,5,1,0,60,24,1
95,6,5,6,1,0,61,25,1
95,7,6,7,1,0,62,26,1
95,8,7,8,1,0,63,27,1
95,9,8,8.167,0.167,0,64,28,1
96,1,0,1,1,2,64,11,1
96,2,1,1.226,0.226,0,65,12,1
97,1,0,1,1,0,25,10,1
97,2,1,2,1,0,26,11,1
97,3,2,3,1,0,27,12,1
97,4,3,3.376,0.376,0,28,13,1
98,1,0,1,1,0,39,6,1
98,2,1,2,1,0,40,7,1
98,3,2,3,1,0,41,8,1
98,4,3,4,1,0,42,9,1
98,5,4,4.977,0.977,0,43,10,1
99,1,0,1,1,0,38,13,1
99,2,1,2,1,0,39,14,1
99,3,2,3,1,1,40,15,1
99,4,3,4,1,0,41,16,1
99,5,4,5,1,0,42,17,1
99,6,5,6,1,0,43,18,1
99,7,6,6.244,0.244,0,44,19,1
100,1,0,1,1,0,60,9,1
100,2,1,1.887,0.887,0,61,10,1
101,1,0,1,1,0,22,7,1
101,2,1,2,1,1,23,8,1
101,3,2,3,1,0,24,9,1
101,4,3,4,1,0,25,10,1
101,5,4,5,1,1,26,11,1
101,6,5,6,1,0,27,12,1
101,7,6,7,1,0,28,13,1
101,8,7,7.358,0.358,0,29,14,1
102,1,0,1,1,0,18,14,1
102,2,1,2,1,0,19,15,1
102,3,2,3,1,0,20,16,1
102,4,3,3.217,0.217,0,21,17,1
103,1,0,1,1,1,43,14,1
103,2,1,2,1,1,44,15,1
103,3,2,3,1,0,45,16,1
103,4,3,3.524,0.524,0,46,17,1
104,1,0,1,1,0,75,8,1
104,2,1,2,1,0,76,9,1
104,3,2,3,1,0,77,10,1
104,4,3,3.126,0.126,0,78,11,1
105,1,0,1,1,0,46,7,1
105,2,1,2,1,0,47,8,1
105,3,2,2.071,0.071,0,48,9,1
106,1,0,1,1,0,52,0,1
106,2,1,2,1,1,53,1,1
106,3,2,3,1,0,54,2,1
106,4,3,3.511,0.511,1,55,3,1
107,1,0,1,1,2,52,10,1
107,2,1,2,1,1,53,11,1
107,3,2,2.323,0.323,0,54,12,1
108,1,0,1,1,0,18,8,1
108,2,1,1.099,0.099,0,19,9,1
109,1,0,1,1,1,54,9,1
109,2,1,2,1,1,55,10,1
109,3,2,2.074,0.074,0,56,11,1
110,1,0,1,1,0,59,0,1
110,2,1,2,1,0,60,1,1
110,3,2,3,1,0,61,2,1
110,4,3,3.676,0.676,0,62,3,1
111,1,0,0.1,0.1,0,75,8,1
112,1,0,1,1,0,43,13,1
112,2,1,2,1,1,44,14,1
112,3,2,3,1,1,45,15,1
112,4,3,4,1,0,46,16,1
112,5,4,5,1,0,47,17,1
112,6,5,5.499,0.499,0,48,18,1
113,1,0,1,1,1,18,9,1
113,2,1,2,1,1,19,10,1
113,3,2,3,1,0,20,11,1
113,4,3,4,1,2,21,12,1
113,5,4,5,1,0,22,13,1
113,6,5,5.208,0.208,0,23,14,1
114,1,0,1,1,0,31,9,1
114,2,1,2,1,0,32,10,1
114,3,2,3,1,0,33,11,1
114,4,3,4,1,0,34,12,1
114,5,4,5,1,0,35,13,1
114,6,5,6,1,0,36,14,1
114,7,6,7,1,0,37,15,1
114,8,7,8,1,0,38,16,1
114,9,8,8.431,0.431,0,39,17,1
115,1,0,1,1,0,44,8,1
115,2,1,2,1,1,45,9,1
115,3,2,3,1,0,46,10,1
115,4,3,4,1,1,47,11,1
115,5,4,5,1,0,48,12,1
115,6,5,6,1,1,49,13,1
115,7,6,6.172,0.172,0,50,14,1
116,1,0,1,1,0,35,11,1
116,2,1,1.815,0.815,0,36,12,1
117,1,0,1,1,0,56,6,1
117,2,1,2,1,0,57,7,1
117,3,2,2.442,0.442,0,58,8,1
118,1,0,1,1,0,61,6,1
118,2,1,1.685,0.685,0,62,7,1
119,1,0,1,1,0,64,1,1
119,2,1,2,1,0,65,2,1
119,3,2,3,1,0,66,3,1
119,4,3,4,1,2,67,4,1
119,5,4,4.338,0.338,0,68,5,1
120,1,0,1,1,0,18,9,1
120,2,1,1.358,0.358,0,19,10,1
121,1,0,1,1,0,37,0,1
121,2,1,2,1,0,38,1,1
121,3,2,2.026,0.026,0,39,2,1
122,1,0,1,1,0,54,17,1
122,2,1,1.684,0.684,0,55,18,1
123,1,0,1,1,0,52,5,1
123,2,1,1.833,0.833,0,53,6,1
124,1,0,1,1,0,41,11,1
124,2,1,2,1,0,42,12,1
124,3,2,3,1,0,43,13,1
124,4,3,4,1,0,44,14,1
124,5,4,4.474,0.474,0,45,15,1
125,1,0,1,1,0,49,7,1
125,2,1,2,1,0,50,8,1
125,3,2,3,1,0,51,9,1
125,4,3,4,1,0,52,10,1
125,5,4,5,1,0,53,11,1
125,6,5,6,1,0,54,12,1
125,7,6,6.34,0.34,0,55,13,1
126,1,0,1,1,0,74,13,1
126,2,1,2,1,2,75,14,1
126,3,2,3,1,0,76,15,1
126,4,3,4,1,0,77,16,1
126,5,4,5,1,1,78,17,1
126,6,5,6,1,0,79,18,1
126,7,6,6.923,0.923,1,80,19,1
127,1,0,1,1,0,37,0,1
127,2,1,2,1,0,38,1,1
127,3,2,3,1,1,39,2,1
127,4,3,3.214,0.214,0,40,3,1
128,1,0,0.867,0.867,0,53,6,1
129,1,0,1,1,0,42,8,1
129,2,1,2,1,0,43,9,1
129,3,2,3,1,0,44,10,1
129,4,3,4,1,0,45,11,1
129,5,4,5,1,0,46,12,1
129,6,5,6,1,0,47,13,1
129,7,6,6.248,0.248,0,48,14,1
130,1,0,1,1,0,46,6,1
130,2,1,2,1,0,47,7,1
130,3,2,3,1,0,48,8,1
130,4,3,4,1,0,49,9,1
130,5,4,4.555,0.555,0,50,10,1
131,1,0,1,1,0,60,0,1
131,2,1,2,1,0,61,1,1
131,3,2,3,1,0,62,2,1
131,4,3,3.009,0.009,0,63,3,1
132,1,0,1,1,0,53,10,1
132,2,1,2,1,1,54,11,1
132,3,2,2.706,0.706,0,55,12,1
133,1,0,1,1,0,45,7,1
133,2,1,2,1,0,46,8,1
133,3,2,3,1,0,47,9,1
133,4,3,3.544,0.544,0,48,10,1
134,1,0,1,1,0,43,11,1
134,2,1,2,1,0,44,12,1
134,3,2,2.284,0.284,1,45,13,1
135,1,0,1,1,0,60,0,1
135,2,1,2,1,0,61,1,1
135,3,2,3,1,0,62,2,1
135,4,3,4,1,0,63,3,1
135,5,4,5,1,0,64,4,1
135,6,5,6,1,0,65,5,1
135,7,6,6.168,0.168,0,66,6,1
136,1,0,1,1,0,20,13,1
136,2,1,2,1,0,21,14,1
136,3,2,3,1,0,22,15,1
136,4,3,4,1,1,23,16,1
136,5,4,5,1,0,24,17,1
136,6,5,6,1,1,25,18,1
136,7,6,7,1,0,26,19,1
136,8,7,8,1,0,27,20,1
136,9,8,8.452,0.452,0,28,21,1
137,1,0,1,1,0,55,2,1
137,2,1,2,1,0,56,3,1
137,3,2,3,1,0,57,4,1
137,4,3,4,1,0,58,5,1
137,5,4,5,1,0,59,6,1
137,6,5,5.813,0.813,0,60,7,1
138,1,0,1,1,0,61,7,1
138,2,1,2,1,0,62,8,1
138,3,2,3,1,0,63,9,1
138,4,3,4,1,0,64,10,1
138,5,4,5,1,0,65,11,1
138,6,5,6,1,0,66,12,1
138,7,6,6.641,0.641,0,67,13,1
139,1,0,1,1,0,53,10,1
139,2,1,2,1,0,54,11,1
139,3,2,3,1,0,55,12,1
139,4,3,4,1,0,56,13,1
139,5,4,5,1,0,57,14,1
139,6,5,6,1,0,58,15,1
139,7,6,7,1,0,59,16,1
139,8,7,7.425,0.425,0,60,17,1
140,1,0,1,1,0,28,0,1
140,2,1,2,1,0,29,1,1
140,3,2,3,1,0,30,2,1
140,4,3,3.002,0.002,0,31,3,1
141,1,0,1,1,4,23,8,1
141,2,1,2,1,1,24,9,1
141,3,2,2.488,0.488,0,25,10,1
142,1,0,1,1,0,39,5,1
142,2,1,2,1,1,40,6,1
142,3,2,2.125,0.125,0,41,7,1
143,1,0,1,1,0,20,11,1
143,2,1,1.16,0.16,0,21,12,1
144,1,0,1,1,0,48,11,1
144,2,1,2,1,0,49,12,1
144,3,2,3,1,0,50,13,1
144,4,3,4,1,0,51,14,1
144,5,4,5,1,0,52,15,1
144,6,5,6,1,0,53,16,1
144,7,6,7,1,0,54,17,1
144,8,7,8,1,0,55,18,1
144,9,8,8.142,0.142,0,56,19,1
145,1,0,1,1,0,37,9,1
145,2,1,2,1,0,38,10,1
145,3,2,3,1,0,39,11,1
145,4,3,4,1,0,40,12,1
145,5,4,5,1,0,41,13,1
145,6,5,6,1,0,42,14,1
145,7,6,6.274,0.274,0,43,15,1
146,1,0,1,1,0,43,5,1
146,2,1,1.236,0.236,0,44,6,1
147,1,0,1,1,0,38,10,1
147,2,1,2,1,0,39,11,1
147,3,2,3,1,0,40,12,1
147,4,3,4,1,0,41,13,1
147,5,4,5,1,1,42,14,1
147,6,5,5.932,0.932,1,43,15,1
148,1,0,1,1,0,40,5,1
148,2,1,1.543,0.543,0,41,6,1
149,1,0,1,1,0,61,3,1
149,2,1,2,1,0,62,4,1
149,3,2,3,1,0,63,5,1
149,4,3,3.156,0.156,0,64,6,1
150,1,0,1,1,0,43,14,1
150,2,1,2,1,0,44,15,1
150,3,2,3,1,0,45,16,1
150,4,3,4,1,1,46,17,1
150,5,4,5,1,0,47,18,1
150,6,5,5.193,0.193,0,48,19,1
151,1,0,1,1,0,42,10,1
151,2,1,2,1,0,43,11,1
151,3,2,3,1,0,44,12,1
151,4,3,4,1,0,45,13,1
151,5,4,4.541,0.541,0,46,14,1
152,1,0,1,1,0,51,2,1
152,2,1,2,1,0,52,3,1
152,3,2,3,1,0,53,4,1
152,4,3,4,1,0,54,5,1
152,5,4,4.34,0.34,0,55,6,1
153,1,0,1,1,0,71,17,1
153,2,1,1.033,0.033,0,72,18,1
154,1,0,1,1,0,41,3,1
154,2,1,2,1,0,42,4,1
154,3,2,2.761,0.761,0,43,5,1
155,1,0,1,1,0,43,3,1
155,2,1,1.538,0.538,0,44,4,1
156,1,0,1,1,0,73,14,1
156,2,1,2,1,0,74,15,1
156,3,2,3,1,0,75,16,1
156,4,3,3.994,0.994,2,76,17,1
157,1,0,1,1,0,85,9,1
157,2,1,2,1,0,86,10,1
157,3,2,3,1,0,87,11,1
157,4,3,4,1,0,88,12,1
157,5,4,5,1,0,89,13,1
157,6,5,5.676,0.676,0,90,14,1
158,1,0,1,1,0,62,6,1
158,2,1,2,1,0,63,7,1
158,3,2,2.885,0.885,0,64,8,1
159,1,0,1,1,0,63,8,1
159,2,1,2,1,0,64,9,1
159,3,2,3,1,0,65,10,1
159,4,3,3.448,0.448,0,66,11,1
160,1,0,1,1,0,30,7,1
160,2,1,1.424,0.424,0,31,8,1
161,1,0,1,1,0,71,6,1
161,2,1,2,1,0,72,7,1
161,3,2,3,1,0,73,8,1
161,4,3,4,1,0,74,9,1
161,5,4,5,1,0,75,10,1
161,6,5,6,1,0,76,11,1
161,7,6,7,1,0,77,12,1
161,8,7,8,1,0,78,13,1
161,9,8,8.49,0.49,0,79,14,1
162,1,0,1,1,0,56,0,1
162,2,1,2,1,0,57,1,1
162,3,2,3,1,0,58,2,1
162,4,3,4,1,0,59,3,1
162,5,4,5,1,0,60,4,1
162,6,5,6,1,0,61,5,1
162,7,6,6.921,0.921,0,62,6,1
163,1,0,1,1,1,56,3,1
163,2,1,2,1,0,57,4,1
163,3,2,3,1,1,58,5,1
163,4,3,4,1,0,59,6,1
163,5,4,5,1,0,60,7,1
163,6,5,6,1,0,61,8,1
163,7,6,7,1,1,62,9,1
163,8,7,7.262,0.262,0,63,10,1
164,1,0,1,1,0,51,11,1
164,2,1,2,1,0,52,12,1
164,3,2,3,1,0,53,13,1
164,4,3,4,1,0,54,14,1
164,5,4,5,1,0,55,15,1
164,6,5,5.451,0.451,0,56,16,1
165,1,0,1,1,0,74,13,1
165,2,1,2,1,0,75,14,1
165,3,2,3,1,0,76,15,1
165,4,3,4,1,0,77,16,1
165,5,4,5,1,0,78,17,1
165,6,5,5.256,0.256,0,79,18,1
166,1,0,1,1,0,59,11,1
166,2,1,2,1,0,60,12,1
166,3,2,3,1,0,61,13,1
